Symbol,Name,Market Capitalization Performance,Market Capitalization Performance % 1Y,P/E,"P/E/Growth, Trading 12M",P/S,P/B,P/CF,P/FCF,P/Cash,EV,EV/Revenue TTM,EV/EBIT TTM,EV/EBITDA TTM
1JANATAMF,First Janata Bank Mutual Fund Units,,,,,,,,,,,,,
1STPRIMFMF,Prime Finance First Mutual Fund 2009 Units,,,,,,,,,,,,,
LRGLOBMF1,LR Global Bangladesh Mutual Fund One Units,,,,,,,,,,,,,
MAGURAPLEX,Magura Multiplex PLC,,,,,,,,,,,,,
MAKSONSPIN,Maksons Spinning Mills PLC,1429395172.0,-14.084507249592805,,,,,,,,8836802381.0,,,
MALEKSPIN,Malek Spinning Mills PLC,5207840090.0,6.177607749346052,4.1046302046256615,,0.22541418436903443,0.42582444562292543,2.7393518165401134,,3.072493739839976,13067372097.0,0.5851817830363827,6.256674027070724,4.840218569630759
MARICO,Marico Bangladesh Limited.,87223500000.0,19.038912089231847,13.819622663781034,1.0891811067161008,4.453819703031873,29.96129430188883,16.47875817297732,17.109459237135283,72.04499708284997,86201822742.0,4.46387733834662,12.174804706350047,11.71700971102901
MATINSPINN,Matin Spinning PLC,4543033752.0,4.454342839096473,10.864385780996857,3.4960992251939955,0.5131188802337742,0.6680309538588383,11.87079520194657,40.67270738758369,9.779830400610008,9862004322.0,1.1383040218621794,9.656815627568333,6.75561208733423
MBL1STMF,MBL 1st Mutual Fund 2010- Units,,,,,,,,,,,,,
MEGCONMILK,Meghna Condensed Milk Industries Ltd.,,,,,,,,,,,,,
MEGHNACEM,Meghna Cement Mills PLC,1039262672.0000001,-25.570778477464362,,-0.0022076347823178403,6.938814536912512,,,,24.125770889518158,15525494667.0,108.61046220166784,,624.7329494382814
MEGHNAINS,Meghna Insurance PLC,,,,,,,,,,,,,
MEGHNALIFE,Meghna Life Insurance PLC,2260198195.0,0.38241067113128535,,,,5.271817501437542,,,,2263030786.0,,,
MEGHNAPET,Meghna Pet Industries Ltd.,,,,,,,,,,,,,
MERCANBANK,Mercantile Bank PLC,9405890198.0,-11.999998094300526,,,0.21841561531210424,0.32335953052761246,0.4668197291718758,0.4727071750453832,,11951897329.000002,0.2842244408292589,,
MERCINS,Mercantile Islami Insurance PLC,1029979083.0,2.9914563261572567,12.697906704919774,0.09207289766738196,1.9981876469543332,1.3472052255779594,10.475309672200162,,,1035917049.0,2.0974675722099843,,
METROSPIN,Metro Spinning Ltd.,586133591.0,-37.76224117597261,,,,2.4225967713850944,,,223.47927631318308,1374190314.0,,,
MHSML,Mozaffar Hossain Spinning Mills Ltd.,1726986797.0,27.083331442395217,25.23221960349369,,0.6202024133615714,0.9155159838024095,,,1.906417684406944,5123983852.0,1.8401457055232624,9.902849057106263,7.0760723984469935
MIDASFIN,MIDAS Financing PLC,1021636749.0,-15.662652550404985,,-2.3048232168403793,2.511663578315661,508.00278357689626,4.851357056613335,4.856904657539111,0.9099221406021651,2303553734.0,6.1859766924495165,,
MIDLANDBNK,Midland Bank PLC,,,12.301344743276285,,0.8280034872030353,1.0328007246283843,7.559870371503653,12.857614736431978,,,,,
MIRACLEIND,Miracle Industries Limited,1035412139.9999999,,,,2.2573118718760634,2.9186413623815306,,,453.6500126368792,1860173178.0,4.319868176028356,,
MIRAKHTER,Mir Akhter Hossain Ltd,3236677325.0,-18.181818193223272,16.95022452722788,,2.623509958070762,0.5197765271247708,6.809227057305461,10.002282056614787,13.223263876662347,23825165868.0,19.753894461678676,108.96430330493178,
MITHUNKNIT,Mithun Knitting & Dyeing (CEPZ) Ltd.,,,,,,,,,,,,,
MJLBD,MJL Bangladesh PLC,28887785508.0,-4.324900812266991,,,0.7637341137642362,1.7203065977077248,4.823598826788918,,7.858891816303199,52820460847.0,1.4057133692487187,13.101390520395737,
MLDYEING,M.L. Dyeing & Textile Ind. PLC,1952446329.0,-17.142858978502908,,,2.514573831667051,0.6384027014198076,,,39.58945074036484,2113420800.0,2.7218943161482927,65.39496667315431,11.484497738037023
MONNOAGML,Monno Agro & General Machinery Ltd.,1491246623.0,4.874308152321869,555.9930697747677,,13.430925252802936,3.1794007973360765,,,727.9118496236232,1552058698.0,14.527314263166778,279.60940799631044,136.36823460775406
MONNOCERA,Monno Ceramic Industries Limited.,3036807409.0,-10.572693606568592,209.6900234436051,,7.591001546027812,1.001415416721921,,,118.37836382311896,4273004552.0,10.93927408314081,61.27746604969564,30.02766682888008
MONNOFABR,Monno Fabrics Ltd.,2461000000.0,,560.9137055837564,,1.4149687785414147,0.8693993080210938,13.410970372171867,30.45252341962607,149.3486483227468,6636868911.0,3.8159131638915715,17.047498605825098,14.47904537508733
MONOSPOOL,Monospool Bangladesh PLC,,,27.40345482499774,,2.0182949450993277,2.260233149638624,,,50.1959445200675,,,,
MPETROLEUM,Meghna Petroleum Limited,21708152373.0,-1.850042797947024,3.2649640122996555,0.12758844234218925,0.16682198247816735,0.6864877422319814,2.0092523618175506,2.075000092057454,0.39526710890301575,-39045535117.00001,,,
MTB,Mutual Trust Bank PLC,13842326769.0,16.311475818993483,4.327687054129899,0.595719331696086,0.2739214000045955,0.44351306700373666,,,,48609426732.0,1.0010188282004049,,
NAHEEACP,Nahee Aluminum Composite Panel PLC,1428727176.0,-8.675797495845348,,,3.812803316800631,1.7343175585478092,,,46.92740389642073,1530194075.0,4.422120160110616,,
NATLIFEINS,National Life Insurance PLC,10732824770.0,3.623188465865469,1.3666957383045364,1.338138888918678,0.37649731265594427,21.150730572399823,1.8438242572767758,2.0044067102790692,,10756377553.0,0.38791371385093626,,
NAVANACNG,Navana CNG Limited,1518610757.0,-7.834104628963722,362.5,,0.3287964879756936,0.7414357775999468,,,4.8975361688902765,14333265368.0,3.118831506421789,25.190696736322963,17.944392602570186
NAVANAPHAR,Navana Pharmaceuticals PLC,,,12.317345348886176,0.5426901997362084,0.6416245715204072,1.2557717200208651,3.90034722920099,4.334198101523447,34.76922063458212,,,,
NBL,National Bank PLC,17386593618.0,26.08696327855872,,,0.6603842442775846,,,,,101980591822.0,4.022445258094175,,
NCCBANK,National Credit and Commerce Bank PLC,14213415837.0,25.742567625204337,11.028468838163633,,0.3590136038960477,0.5670748433290899,,,,28463551610.0,0.7303666995926519,,
NCCBLMF1,NCCBL Mutual Fund-1 2012- Dividend Units,,,,,,,,,,,,,
NEWLINE,New Line Clothings Ltd.,439782811.0,-34.736844183549124,,,,,,,,,,,
NFML,National Feed Mill Ltd,1353739258.0,61.538452629167054,,,,,,,,,,,
NHFIL,National Housing Finance PLC,2999509417.0,-7.491164418510105,127.67123287671234,,1.274425763010926,1.227925664647704,9.820324413233495,9.886550740258501,1.0772097408348464,2379149506.0,1.1413235037248517,5.3611778265523915,5.206708677503818
NITOLINS,Nitol Insurance PLC,1190548235.0,19.813268216944724,13.910126769595028,0.17379877747310243,1.8375440371848504,0.88407295545589,74.46637088232688,,,1209298615.0,1.9951840774644825,,
NORTHERN,Northern Jute Manufacturing Co. Ltd.,256397388.99999997,15.209791088036926,,,,,,,,,,,
NORTHRNINS,Northern Islami Insurance PLC,1185937252.0,-2.1052644955465767,16.92325772711247,,2.862791823008848,1.141434426375696,82.38086253913285,120.8849038900521,,1185937252.0,2.9152240704095624,,
NPOLYMER,National Polymer Industries PLC,1963261530.0,,,,0.3420277160533995,0.9068169712987372,3.317246989198004,3.8401801112436376,10.778370808242588,7092505768.0,1.2783858759093052,16.40055571997849,10.34311684399234
NRBBANK,NRB Bank PLC,4834110107.0,-47.44525614049532,,,0.4285235513457106,0.6542930503796301,0.820727855685904,0.8363401618723117,,1331438216.9999995,0.11802639698634927,,
NRBCBANK,NRBC Bank PLC,5551951734.0,-21.176472831264512,,,0.26484700608682826,0.40223881391604327,,,,9104710963.09,0.4409064023287304,,
NTC,National Tea Company Limited,4938500000.0,122.03855994760697,,,,,,,,,,,
NTLTUBES,National Tubes Limited,2009218120.0,-25.566753970964196,,,,,,,,,,,
NURANI,Nurani Dyeing & Sweater Ltd.,429187500.0,,,,,,,,,,,,
OAL,Olympic Accessories Ltd,1152783376.0,-26.13636520550867,,,,,,,,,,,
OIMEX,Oimex Electrode Ltd.,950102112.0,-53.98550854898167,,,0.2621143727007721,4.314256861266282,,,2.9019673862357123,5914689481.0,1.738745440815307,17.877257767592695,
OLYMPIC,Olympic Industries PLC.,30190769867.0,2.8786925156241674,14.816625916870416,1.327057387608009,1.0366215469857865,2.318743513448942,10.663131548154784,23.75580914254725,4.416793992365206,24045365184.0,0.8498146763326845,11.015181040832815,8.935637273412617
ONEBANKPLC,One Bank PLC,8419993107.0,-11.363636113082835,11.84150599666009,,0.24507325188606835,0.3306398899223505,,,,10939456036.999998,0.3184050265087418,,
ORIONINFU,Orion Infusion Ltd.,7537183506.0,0.4710776668932351,211.1879321181647,,11.69924593355132,22.28167754023784,230.59085496902932,255.84362280224272,554.4481335279006,7833933523.0,12.404467625207209,96.64504767032138,78.65672297286783
