Symbol,Name,Market Capitalization Performance,Market Capitalization Performance % 1Y,P/E,"P/E/Growth, Trading 12M",P/S,P/B,P/CF,P/FCF,P/Cash,EV,EV/Revenue TTM,EV/EBIT TTM,EV/EBITDA TTM
1JANATAMF,First Janata Bank Mutual Fund Units,,,,,,,,,,,,,
1STPRIMFMF,Prime Finance First Mutual Fund 2009 Units,,,,,,,,,,,,,
AAMRANET,aamra networks ltd,1487678589.0,-32.921811756894144,,,,,,,,,,,
AAMRATECH,Aamra Technologies Limited,731194121.0,-28.38709426228744,,,,,,,,,,,
ABB1STMF,AB Bank 1st Mutual Fund 2011 Units,,,,,,,,,,,,,
ABBANK,AB Bank PLC,3851487653.0,-40.277773538534504,,,,,,,,26659345690.0,,,
ACFL,Aman Cotton Fibrous PLC,1734333454.0,-2.762430884131785,231.92360163710777,,0.7891376671448939,0.5038724076505615,2.5642657495988668,2.5716604928061644,1.7422054878932347,2226216751.0,0.9955843207087212,18.243600393584156,13.260199775897043
ACI,Advanced Chemical Industries PLC,18219620950.0,39.512850266576855,158.80968647992106,,0.12172630156214648,2.3064035000003855,,,2.6293987964079415,92527161950.0,0.6182898886903251,8.223911005661925,6.9538831410321995
ACIFORMULA,ACI Formulations PLC,6293699856.0,10.972565767231046,18.331019841593857,,1.1856781579709899,1.7412189308114312,,,34.6920837898386,10519117856.0,1.9861833949195002,15.511503468402033,
ACMELAB,ACME Laboratories Ltd.,15764326637.0,0.2709985623138638,6.175642539278903,0.8472138784265039,0.40297532963950855,0.583821555409895,3.675099784145302,9.370748501681767,5.480779004023911,37506311153.0,0.9652325061432134,5.496488551418293,
ACMEPL,ACME Pesticides Ltd,2092500000.0,22.834650506678866,,,,,,,,,,,
ACTIVEFINE,Active Fine Chemicals Ltd.,1343644850.0,-32.92682769081356,,,,,,,,,,,
ADNTEL,ADN Telecom Ltd.,4014868281.0,-35.37832433412997,26.02728601591684,22.015088161477912,2.1428675001848636,1.9146513542349937,11.27722866877826,26.816534883054278,19.057447907540332,4284135846.0,2.327817860092183,17.121681079955355,10.154162378916816
ADVENT,Advent Pharma Ltd.,1322484836.0,-15.189876841428008,19.220055710306408,,2.493509339481433,0.8398191102664234,11.81786925707628,88.19405655891092,726.1388870777926,1396509844.0,2.7902804696629318,14.610181796877534,8.803286259670466
AFCAGRO,AFC Agro Biotech Ltd.,587602618.0,-42.696627843811505,,,,,,,,,,,
AFTABAUTO,Aftab Automobiles Ltd.,3208567672.0,-12.91208946418677,,-0.9313481980363666,4.011580196640756,1.0563518541233687,,,13.037754706616271,26438466397.999996,32.20768430775292,322.8812151736106,171.241076912365
AGNISYSL,Agni Systems PLC,1516424513.0,-17.16417386890789,25.401069518716575,,2.173119291971055,1.2088716137857636,13.845822354695459,55.97851605425,32.75595971202782,1530240079.0,2.1618860417517896,11.11168775595533,7.690960739281903
AGRANINS,Agrani Insurance PLC,882458141.0,6.430902088091676,24.65253119610429,,3.821796834645866,1.4007612532144014,40.57427771887332,41.93098399947493,,983454814.0,4.157385294297917,,
AIBL1STIMF,AIBL 1st ISLAMIC Mutual Fund 2010- Units,,,,,,,,,,,,,
AIL,Alif Industries Ltd.,1319142223.0,-68.98096324716316,,,,,,,,,,,
AL-HAJTEX,Alhaj Textile Mills Limited,2653527409.0,7.308690159385383,,,,,,,,,,,
ALARABANK,Al-Arafah Islami Bank PLC,14971993042.0,-29.189187126761304,31.97327606776426,,0.3006535459687613,0.6424344237459104,0.36801242509453314,0.3780962085526072,,57359621278.0,1.1430495790010573,,
ALIF,Alif Manufacturing Company Ltd.,987722595.0,-43.478260282904465,,,,,,,,,,,
ALLTEX,Alltex Industries Limited,761164800.0,,,,1.7546783075361685,0.552956034344624,6.998453673182899,21.43792852491669,48.46786346396966,3872621800.0,8.927377442771483,37.73573789878039,22.252477489073215
AMANFEED,Aman Feed PLC,3064707262.0,-15.18518660908206,194.9579831932773,,0.33876998051185175,0.8215701835182396,17.49537048379512,17.858948484285314,30.52239720905666,8372789981.0,0.9176772387453412,18.419068362900166,17.03565699649988
AMBEEPHA,Ambee Pharmaceuticals PLC,2059776117.0,-6.040539839546097,358.1064264025088,,8.70033316774115,60.79648979288291,115.91874650166157,,13.114674404296206,1928456117.0,9.945826052347654,272.152476171122,
AMCLPRAN,Agricultural Marketing Co. Ltd.,1692800049.0,6.20347394540943,43.82297823266542,,0.46835253218996076,2.2480812605312783,13.990245830331075,16.911575230184777,109.73314425680032,2570512049.0,0.7048628964718703,9.72492218585414,8.770589075449129
ANLIMAYARN,Anlima Yarn Dyeing Ltd.,,,,,,,,,,,,,
ANWARGALV,Anwar Galvanizing Ltd.,2635332210.0,31.857147229806827,,,4.368019679181171,64.03562208104894,,,10.754079735393058,3025124903.0,4.940406803704159,,
AOL,Associated Oxygen Ltd,1547926209.0,-6.535947592179542,,,,,,,,,,,
APEXFOODS,Apex Foods Limited,1325807937.0,6.496415933026347,35.08563096106061,1.7534371785967486,0.5863157836383108,1.6042324523298723,,,3.214152937014123,1059908937.0,0.4639700102855055,15.742436030462152,12.715994772557293
