Symbol,Name,Market Capitalization Performance,Market Capitalization Performance % 1Y,P/E,"P/E/Growth, Trading 12M",P/S,P/B,P/CF,P/FCF,P/Cash,EV,EV/Revenue TTM,EV/EBIT TTM,EV/EBITDA TTM
1JANATAMF,First Janata Bank Mutual Fund Units,,,,,,,,,,,,,
1STPRIMFMF,Prime Finance First Mutual Fund 2009 Units,,,,,,,,,,,,,
AAMRANET,aamra networks ltd,1915386219.0,7.291664385194639,,,,,,,,,,,
AAMRATECH,Aamra Technologies Limited,1093555766.0,31.00775286387901,,,,,,,,,,,
ABB1STMF,AB Bank 1st Mutual Fund 2011 Units,,,,,,,,,,,,,
ABBANK,AB Bank PLC,4478473816.0,-28.571428566871624,,-0.0009343095276166764,,,,,,52216842823.0,,,
ACFL,Aman Cotton Fibrous PLC,2369583393.0,45.06172156885023,103.72340425531914,,1.3098949046053316,0.7049135486794017,5.899220708816459,5.927604373067216,2.3923425491837036,2783709361.0,1.552030668575961,56.11530966931045,29.624818068768892
ACI,Advanced Chemical Industries PLC,17947948705.0,2.914574398277144,154.48265391330753,,0.1209046196808205,2.243561722036704,,,2.5577564773853543,92255489705.0,0.6164745060655769,8.199764492157106,6.933465600878826
ACIFORMULA,ACI Formulations PLC,8297100288.0,27.246381228433403,24.345798775340665,,1.5418528993124812,2.235864096870873,,,63.696915064102555,12395722288.000002,2.222499023062406,18.996504905004088,17.622571545355164
ACMELAB,ACME Laboratories Ltd.,18049625641.0,13.581897184516668,6.715191732217838,0.6124318462759795,0.4454462162157406,0.6437120178522799,3.1275160442128467,5.651517821864992,6.911176000195155,39215839389.0,0.979287164725332,5.847317741791947,
ACMEPL,ACME Pesticides Ltd,3105000000.0,56.46258708391397,,,,,,,,,,,
ACTIVEFINE,Active Fine Chemicals Ltd.,1631568820.0,-26.08695291138055,,,,,,,,,,,
ADNTEL,ADN Telecom Ltd.,4460964867.0,-8.488065512771337,29.32700457704696,,2.163189123386151,2.054708697534409,11.441432944483275,25.453378504181334,16.149234632715018,4694160384.0,2.2895418072781935,19.720832394028093,10.958449877274925
ADVENT,Advent Pharma Ltd.,1452870720.0,1.2987062644375442,31.07680126682502,,3.2107337731493617,0.9387885919845391,36.190698031755794,,1630.3895521006743,1529623428.0,3.337562392434211,14.901955364573054,
AFCAGRO,AFC Agro Biotech Ltd.,841078295.0,-14.117644800394519,,,,,,,,,,,
AFTABAUTO,Aftab Automobiles Ltd.,3345776281.0,-10.198296182647983,,-0.41892504521256646,3.951191540075903,0.6872993644013076,23.455077433798987,24.69463480754936,12.923495247971497,26233535410.0,31.27646163201984,312.96427307708,176.14581518032637
AGNISYSL,Agni Systems PLC,2437888146.0,23.985232453456717,64.45672191528544,,3.6236734341082943,1.9978811043830085,20.157331162636677,68.83532785372186,62.12512293388448,2443628452.0,3.537452759030907,21.74531678907386,14.27820612286944
AGRANINS,Agrani Insurance PLC,1116579689.0,18.40195379799191,59.68280467445743,,5.512729082820061,1.53477444718605,43.630388444321866,47.02581300874247,,1207297533.0,6.529298411201528,,
AIBL1STIMF,AIBL 1st ISLAMIC Mutual Fund 2010- Units,,,,,,,,,,,,,
AIL,Alif Industries Ltd.,1844852087.0,-22.016455303586735,,,,,,,,,,,
AL-HAJTEX,Alhaj Textile Mills Limited,2452840462.0,-19.117647058338605,,,,,,,,,,,
ALARABANK,Al-Arafah Islami Bank PLC,19924266785.0,1.7647013941158385,20.833333333333336,0.3292319887264399,1.312659357494446,0.8264974125908143,,,,65258145342.00001,1.27585132538314,,
ALIF,Alif Manufacturing Company Ltd.,1455591186.0,-6.666668282504947,,,,,,,,,,,
ALLTEX,Alltex Industries Limited,1074585600.0,,,,1.6445459053577003,0.7189508709415784,8.757706300067504,,75.43598455598456,4142489600.0,6.372858452461689,25.074422039930564,17.64612572958979
AMANFEED,Aman Feed PLC,4950680943.0,47.08170474993235,266.71214188267396,,0.5560204805948801,1.3875408765638668,41.16076522842998,42.98218489764864,34.2005408474404,10475116978.0,1.149120444374734,19.98821248261093,18.712160063691016
AMBEEPHA,Ambee Pharmaceuticals PLC,2369952164.0,-3.6755196215071564,360.8807052590437,,12.684311526158128,65.98511166253101,,,20.379926630629157,2272341164.0,14.417308532357332,521.425527657563,
AMCLPRAN,Agricultural Marketing Co. Ltd.,1912800049.0,9.880514427765851,48.4559585492228,,0.493496996063969,2.474084022771732,9.956468079435048,28.626184939480044,60.95089125688402,2838052049.0,0.7390091604340926,10.016803246344745,9.135140037551238
ANLIMAYARN,Anlima Yarn Dyeing Ltd.,,,,,,,,,,,,,
ANWARGALV,Anwar Galvanizing Ltd.,3550000607.0,63.1067974194855,,-0.668572713559282,5.344075790575908,21.677524036001437,4777.150413627183,,6.892473968843718,3695237969.0,5.620059770771689,,
AOL,Associated Oxygen Ltd,1910206718.0,8.749997622418698,,,,,,,,,,,
APEXFOODS,Apex Foods Limited,1684488846.0,33.12302937640876,40.05016494451866,0.6431599189844295,0.585669305445053,1.8675135779297272,39.13111879071348,44.84594478914017,3.911251724661196,1322258846.0,0.46683944644115327,16.008724451287918,13.553230357146884
