Symbol,Name,Price,Change %,Gap %,Volume,Volume Change %
1JANATAMF,First Janata Bank Mutual Fund Units,3.1,3.333333333333336,3.333333333333336,1185332,10.436956296916737
1STPRIMFMF,Prime Finance First Mutual Fund 2009 Units,18.9,6.179775280898864,1.1235955056179736,1488962,407.4939927401625
AAMRANET,aamra networks ltd,16.1,0.0,2.484472049689432,287066,-22.08249756394145
AAMRATECH,Aamra Technologies Limited,12.9,-3.0075187969924837,1.5037593984962352,109700,206.6558577698264
ABB1STMF,AB Bank 1st Mutual Fund 2011 Units,3.4,3.030303030303033,0.0,5466249,111.06349377958654
ABBANK,AB Bank PLC,6.0,-1.6393442622950762,0.0,1992909,-33.507951050542275
ACFL,Aman Cotton Fibrous PLC,17.9,-0.5555555555555635,0.0,26429,-51.63952424519671
ACI,Advanced Chemical Industries PLC,206.9,-1.5230842455973292,0.0,88135,-48.47021404725294
ACIFORMULA,ACI Formulations PLC,139.9,-1.7556179775280896,0.42134831460673755,18771,0.5840745900760904
ACMELAB,ACME Laboratories Ltd.,75.3,-0.3968253968253931,-0.3968253968253931,93950,-32.74922870988755
ACMEPL,ACME Pesticides Ltd,26.2,-1.5037593984962485,-2.255639097744366,10361575,2.3478646526825684
ACTIVEFINE,Active Fine Chemicals Ltd.,6.9,0.0,1.4492753623188355,258336,-36.60061746270928
ADNTEL,ADN Telecom Ltd.,62.3,2.635914332784175,0.8237232289950577,1461395,518.4699439676333
ADVENT,Advent Pharma Ltd.,13.9,-0.7142857142857117,2.142857142857148,119487,-45.72966344188581
AFCAGRO,AFC Agro Biotech Ltd.,7.1,-2.739726027397263,1.3698630136986376,153901,87.39163257354373
AFTABAUTO,Aftab Automobiles Ltd.,27.9,0.7220216606498169,0.0,122160,-38.024767770444065
AGNISYSL,Agni Systems PLC,21.2,0.47393364928908943,0.9478672985781956,1076565,44.499744305255234
AGRANINS,Agrani Insurance PLC,20.9,-2.3364485981308416,0.0,94461,-52.48321134837395
AIBL1STIMF,AIBL 1st ISLAMIC Mutual Fund 2010- Units,4.1,2.499999999999991,0.0,932839,115.73519888991675
AIL,Alif Industries Ltd.,28.4,-2.0689655172413843,1.0344827586206922,229978,84.43537327676775
AL-HAJTEX,Alhaj Textile Mills Limited,117.1,-0.7627118644067845,1.525423728813557,130738,-41.34047631867047
ALARABANK,Al-Arafah Islami Bank PLC,15.5,1.9736842105263206,1.9736842105263206,86937,76.27486364281513
ALIF,Alif Manufacturing Company Ltd.,4.9,2.0833333333333446,0.0,390384,27.79489126840973
ALLTEX,Alltex Industries Limited,13.3,0.0,0.0,218529,144.78459573896095
AMANFEED,Aman Feed PLC,24.7,1.6460905349794182,0.0,1005947,-11.346563308586617
AMBEEPHA,Ambee Pharmaceuticals PLC,752.2,-0.2254940973603836,0.013264358668261405,565,-44.00396432111001
AMCLPRAN,Agricultural Marketing Co. Ltd.,210.6,-1.4044943820224718,-0.28089887640449174,16383,92.4920690870638
ANLIMAYARN,Anlima Yarn Dyeing Ltd.,19.1,-1.0362694300518096,0.5181347150258957,6292,-60.56655803459514
ANWARGALV,Anwar Galvanizing Ltd.,97.3,3.73134328358209,0.3198294243070332,1348608,178.74801832954742
AOL,Associated Oxygen Ltd,16.0,0.0,1.2499999999999956,205636,-42.04318379747977
APEXFOODS,Apex Foods Limited,242.3,-2.1800565199838426,0.0,48333,-45.575849022610576
APEXFOOT,Apex Footwear Ltd.,188.0,-1.9300991131976988,-0.1043296817944646,91696,13.279059137460314
APEXSPINN,Apex Spinning and Knitting Mills Ltd.,237.2,-2.9459901800327404,-0.5319148936170259,313015,34.01622674630189
APEXTANRY,Apex Tannery Limited.,75.0,-4.336734693877558,0.0,132913,30.008607703894985
APOLOISPAT,Appollo Ispat Complex Ltd.,3.7,0.0,2.7027027027026933,740831,-13.008797392251905
ARAMIT,Aramit Limited,176.5,-3.287671232876712,0.273972602739726,25543,21.309840425531913
ARAMITCEM,Aramit Cement Limited,12.2,5.172413793103446,6.896551724137938,21612,11.857564308265617
