Symbol,Name,Price,Change %,Gap %,Volume,Volume Change %
1JANATAMF,First Janata Bank Mutual Fund Units,3.4,0.0,2.941176470588238,498591,-42.554272559895104
1STPRIMFMF,Prime Finance First Mutual Fund 2009 Units,23.5,2.620087336244548,0.8733624454148596,661594,7.552825888343027
AAMRANET,aamra networks ltd,18.1,4.022988505747143,2.298850574712656,198282,119.60814717185926
AAMRATECH,Aamra Technologies Limited,16.3,1.242236024844716,2.484472049689432,29863,-30.760491537213074
ABB1STMF,AB Bank 1st Mutual Fund 2011 Units,3.5,0.0,0.0,656281,-50.85977295853996
ABBANK,AB Bank PLC,4.4,0.0,0.0,254819,98.42471246914445
ACFL,Aman Cotton Fibrous PLC,22.4,3.2258064516129004,-0.9216589861751119,29355,23.475225035753343
ACI,Advanced Chemical Industries PLC,180.2,1.235955056179769,0.0,8973,-2.7422501625840017
ACIFORMULA,ACI Formulations PLC,152.0,1.5364061456245903,0.33400133600534404,122345,-13.458205714043192
ACMELAB,ACME Laboratories Ltd.,77.6,2.1052631578947296,1.3157894736842104,82554,-5.157221143572717
ACMEPL,ACME Pesticides Ltd,24.6,0.40816326530612823,0.816326530612242,2887310,56.33378959633719
ACTIVEFINE,Active Fine Chemicals Ltd.,5.7,1.7857142857142954,1.7857142857142954,98228,-18.83928645200737
ADNTEL,ADN Telecom Ltd.,56.9,2.52252252252252,0.9009009009009009,158111,81.77647992090226
ADVENT,Advent Pharma Ltd.,13.5,3.0534351145038197,2.290076335877868,56251,-74.66136929778331
AFCAGRO,AFC Agro Biotech Ltd.,6.4,8.47457627118644,1.6949152542372818,49654,39.95715654771971
AFTABAUTO,Aftab Automobiles Ltd.,26.0,3.5856573705179224,0.3984063745019835,54211,-32.75654622359493
AGNISYSL,Agni Systems PLC,28.3,3.284671532846723,1.0948905109489078,414145,-0.07093926971158603
AGRANINS,Agrani Insurance PLC,28.1,8.076923076923084,4.230769230769236,120204,13.67668476102211
AIBL1STIMF,AIBL 1st ISLAMIC Mutual Fund 2010- Units,5.9,0.0,0.0,1712732,-29.095597650391152
AIL,Alif Industries Ltd.,31.7,7.094594594594588,0.0,69458,-27.38696356698552
AL-HAJTEX,Alhaj Textile Mills Limited,70.6,9.968847352024907,0.15576323987538054,241381,83.15021928160614
ALARABANK,Al-Arafah Islami Bank PLC,15.1,-3.821656050955412,-5.732484076433112,46507,90.6884251096806
ALIF,Alif Manufacturing Company Ltd.,5.4,3.8461538461538494,1.9230769230769162,134377,-35.05784900298669
ALLTEX,Alltex Industries Limited,24.0,3.004291845493559,0.8583690987124433,157188,8.743747794865408
AMANFEED,Aman Feed PLC,31.0,2.6490066225165587,0.9933774834437109,211651,-51.707292586482666
AMBEEPHA,Ambee Pharmaceuticals PLC,744.1,1.6668943844787603,2.459352370542424,1526,52.752752752752755
AMCLPRAN,Agricultural Marketing Co. Ltd.,208.9,0.577756379393364,0.0,3855,-10.452961672473867
ANLIMAYARN,Anlima Yarn Dyeing Ltd.,27.8,4.5112781954887184,3.7593984962406015,20165,-71.52881710106458
ANWARGALV,Anwar Galvanizing Ltd.,113.3,-0.08818342151676237,0.5291005291005241,473603,-4.836509113413828
