Symbol,Name,Price,Change %,Gap %,Volume,Volume Change %
1JANATAMF,First Janata Bank Mutual Fund Units,3.1,-3.1250000000000027,0.0,804595,-65.77765717131821
1STPRIMFMF,Prime Finance First Mutual Fund 2009 Units,17.7,-2.209944751381227,0.0,101632,-68.65241664353351
AAMRANET,aamra networks ltd,16.7,-1.1834319526627177,-1.1834319526627177,36760,-83.48807646871224
AAMRATECH,Aamra Technologies Limited,13.5,2.2727272727272783,0.0,22941,-66.40256582994054
ABB1STMF,AB Bank 1st Mutual Fund 2011 Units,3.4,-2.85714285714286,0.0,4097638,-50.33933543603867
ABBANK,AB Bank PLC,5.8,-1.6949152542372972,0.0,681496,-46.52039142751764
ACFL,Aman Cotton Fibrous PLC,17.6,-1.6759776536312692,1.1173184357542059,11062,-54.336429308565535
ACI,Advanced Chemical Industries PLC,201.0,1.3615733736762423,1.3111447302067545,39919,-51.89380701606392
ACIFORMULA,ACI Formulations PLC,135.0,-2.1029731689630204,1.4503263234227701,2583,-88.42949292241535
ACMELAB,ACME Laboratories Ltd.,74.6,-1.192052980132458,0.0,91058,-57.66516341996374
ACMEPL,ACME Pesticides Ltd,21.0,0.0,0.0,3111897,-61.33967671843495
ACTIVEFINE,Active Fine Chemicals Ltd.,7.1,1.4285714285714235,1.4285714285714235,149334,-63.6234754203784
ADNTEL,ADN Telecom Ltd.,59.4,-0.5025125628140775,0.0,48525,-92.20937475917697
ADVENT,Advent Pharma Ltd.,14.1,-0.7042253521126736,-1.4084507042253471,98520,-61.954485949187685
AFCAGRO,AFC Agro Biotech Ltd.,7.5,4.166666666666664,2.77777777777778,537448,87.31697796242145
AFTABAUTO,Aftab Automobiles Ltd.,28.6,-1.3793103448275814,1.0344827586206922,66033,-61.19426667371874
AGNISYSL,Agni Systems PLC,21.2,-0.9345794392523332,-0.4672897196261583,178267,-89.76883502679075
AGRANINS,Agrani Insurance PLC,21.0,-2.3255813953488373,-1.860465116279063,23119,-83.61574713865562
AIBL1STIMF,AIBL 1st ISLAMIC Mutual Fund 2010- Units,4.0,0.0,0.0,427672,-59.90042427509904
AIL,Alif Industries Ltd.,29.2,-2.341137123745817,1.3377926421404756,118801,-50.71295516493181
AL-HAJTEX,Alhaj Textile Mills Limited,114.3,-2.1404109589041096,-0.4280821917808219,65131,-62.514748116557605
ALARABANK,Al-Arafah Islami Bank PLC,15.9,1.2738853503184782,1.9108280254777117,12550,-54.5092069015514
ALIF,Alif Manufacturing Company Ltd.,4.9,-3.9215686274509665,0.0,219623,-23.89185180564652
ALLTEX,Alltex Industries Limited,13.4,-2.1897810218978027,-1.459854014598535,142527,-40.55306458676566
AMANFEED,Aman Feed PLC,22.9,-0.8658008658008781,0.0,91391,-49.53951654758881
AMBEEPHA,Ambee Pharmaceuticals PLC,781.0,-0.6993006993006993,-3.3693579148124604,553,-72.1830985915493
AMCLPRAN,Agricultural Marketing Co. Ltd.,216.2,1.9330504479019306,-1.1315417256011342,18125,188.84462151394422
ANLIMAYARN,Anlima Yarn Dyeing Ltd.,19.9,1.5306122448979447,-1.5306122448979627,2306,-89.99088502105126
ANWARGALV,Anwar Galvanizing Ltd.,92.1,-1.2861736334405176,0.0,120118,-60.078435282583044
AOL,Associated Oxygen Ltd,16.0,-1.2345679012345634,-1.2345679012345634,115011,-78.45372490099028
APEXFOODS,Apex Foods Limited,230.0,2.7703306523681808,0.9830205540661253,12652,108.77887788778877
APEXFOOT,Apex Footwear Ltd.,189.2,1.230604601391109,0.8025682182985553,60545,-9.50195808794954
APEXSPINN,Apex Spinning and Knitting Mills Ltd.,223.7,3.1826568265682553,0.09225092250921985,167829,-18.791371501567763
APEXTANRY,Apex Tannery Limited.,75.5,7.244318181818173,2.840909090909091,202930,379.08305396855377
APOLOISPAT,Appollo Ispat Complex Ltd.,3.4,-5.55555555555556,0.0,1086429,-22.089011502034136
ARAMIT,Aramit Limited,170.6,0.0,-0.8792497069167644,1425,-35.256701499318496
ARAMITCEM,Aramit Cement Limited,11.4,-0.8695652173913012,-1.7391304347826024,3481,-83.59025126101919
ARGONDENIM,Argon Denims Ltd.,17.0,-1.7341040462427786,0.5780346820809125,121028,-85.84830318316126
ASIAINS,Asia Insurance PLC,40.6,0.7444168734491422,-0.7444168734491244,276798,-72.30161438325116
ASIAPACINS,Asia Pacific General Insurance PLC,37.3,0.26881720430106,2.1505376344085945,31022,-76.59882624504021
ASIATICLAB,Asiatic Laboratories Ltd,83.5,4.767879548306144,0.0,1165624,4.2750457133246735
ATLASBANG,Atlas Bangladesh Limited,71.0,-5.835543766578256,0.7957559681697537,19962,-76.71798460461862
AZIZPIPES,Aziz Pipes Limited.,50.0,-1.5748031496062938,-0.984251968503937,2742,-88.09172240076435
BANGAS,Bangas Limited,119.0,-2.05761316872428,0.0,60950,-52.358991995998
BANKASIA,Bank Asia PLC,21.3,-1.3888888888888922,-0.925925925925939,85916,-71.21819180725475
BARKAPOWER,Baraka Power Ltd.,7.7,-2.531645569620255,0.0,216036,-39.22114751607839
BATASHOE,Bata Shoe Co. (Bangladesh) Ltd.,843.1,-0.5309108069844266,0.16517225106181893,687,-14.764267990074442
BATBC,British American Tobacco Bangladesh Co Ltd,216.9,-1.364256480218281,0.045475216007273445,68002,-53.55657394190645
BAYLEASING,Bay Leasing and Investment Ltd.,5.0,-1.9607843137254832,-3.9215686274509665,150663,-58.79764593919041
BBS,Bangladesh Building Systems PLC,11.4,-1.7241379310344769,0.0,521593,-66.38423285933777
BBSCABLES,BBS Cables PLC,19.2,0.5235602094240727,0.0,670864,-72.45217162778665
BDAUTOCA,Bangladesh Autocars Limited,177.8,-1.8221976808393059,-0.6073992269464353,130629,-41.78613605472493
BDCOM,BDCOM Online Ltd.,28.0,-0.7092198581560258,0.35460992907801925,552851,-87.10717894578262
BDFINANCE,Bangladesh Finance PLC,12.9,-0.7692307692307665,-0.7692307692307665,61235,-68.42124262552085
BDLAMPS,Bangladesh Lamps PLC,140.9,0.4992867332382433,-0.9272467902995599,7627,-65.88540501856241
BDTHAI,Bangladesh Thai Aluminium Ltd.,12.5,-0.7936507936507908,0.0,1008762,-72.03803502695128
BDTHAIFOOD,BD Thai Food & Beverage Ltd.,17.9,-1.1049723756906233,0.0,1218339,-67.40740245339526
BDWELDING,Bangladesh Welding Electrodes Ltd.,17.0,-0.5847953216374352,-0.5847953216374352,64152,-33.35964930505059
BEACHHATCH,Beach Hatchery Ltd,30.9,-2.2151898734177307,0.3164556962025249,130507,-17.450789393786053
BEACONPHAR,Beacon Pharmaceuticals PLC,100.8,-0.9823182711198428,-1.0805500982318215,30915,-85.75857525866279
BENGALWTL,Bengal Windsor Thermoplastics PLC,18.4,-2.1276595744680966,-1.5957446808510676,75950,-80.59093511060227
BERGERPBL,Berger Paints Bangladesh Ltd.,1390.0,-0.1006180825068342,0.2587322121604074,1260,41.25560538116592
BESTHLDNG,Best Holdings PLC,13.1,0.0,0.0,155736,-47.85124465071424
BEXIMCO,Bangladesh Export Import Company Ltd.,110.1,0.0,0.0,5,-99.84413965087282
BGIC,Bangladesh General Insurance Company PLC,33.2,-0.8955223880596931,0.0,11756,-82.97983234642614
BIFC,Bangladesh Industrial Finance Company Ltd.,5.9,-1.6666666666666607,0.0,141336,-60.624937316825836
BNICL,Bangladesh National Insurance Company Ltd,65.7,3.139717425431711,-1.883830455259031,1046749,-20.037813537246336
BPML,Bashundhara Paper Mill Ltd.,28.0,-3.114186851211068,-4.8442906574394415,17754,-39.42061623502918
BPPL,Baraka Patenga Power Ltd.,14.8,-1.3333333333333286,0.0,485760,-67.38907141830954
BRACBANK,BRAC Bank PLC,68.8,-1.0071942446043207,0.43165467625898873,328905,-79.63991234586243
BSC,Bangladesh Shipping Corporation,107.4,-1.1049723756905974,0.0,31907,-85.74294676449298
BSCPLC,Bangladesh Submarine Cables PLC,134.9,-1.2445095168374734,-1.1713030746705668,10052,-90.19077823859479
BSRMLTD,Bangladesh Steel Re-Rolling Mills Ltd.,81.2,-1.694915254237278,-0.24213075060531314,11751,-82.36353539749959
BSRMSTEEL,BSRM Steels Limited,67.5,-0.2954209748892213,3.3973412112259926,6914,-94.03636489097434
BXPHARMA,Beximco Pharmaceuticals Plc,115.7,-0.34453057708870927,-0.9474590869939659,128134,-80.85866658699452
CAPITECGBF,CAPITEC GRAMEEN BDT10 (MUTUAL FUND) Units,6.6,-1.4925373134328437,0.0,318185,-55.53473331460729
CAPMBDBLMF,CAPM BDBL Mutual Fund 01 Units,11.8,1.7241379310344922,0.0,1109544,-60.46748771316247
CAPMIBBLMF,CAPM IBBL Islamic Mutual Fund Units,8.3,-1.1904761904761862,0.0,153284,-78.6628433023845
CENTRALINS,Central Insurance PLC,39.8,-1.240694789081886,-0.7444168734491244,104214,-86.67346970092224
