Symbol,Name,Price,Change %,Gap %,Volume,Volume Change %
1JANATAMF,First Janata Bank Mutual Fund Units,3.0,-3.2258064516129057,3.2258064516129057,884796,-23.503235651388284
1STPRIMFMF,Prime Finance First Mutual Fund 2009 Units,18.6,-1.0638297872340388,0.0,291841,-36.50702828064389
AAMRANET,aamra networks ltd,17.6,-1.6759776536312692,0.0,552644,2.4589297732029864
AAMRATECH,Aamra Technologies Limited,14.2,2.158273381294956,0.0,148770,-5.280649926144757
ABB1STMF,AB Bank 1st Mutual Fund 2011 Units,3.3,-2.941176470588238,0.0,3182985,-27.68165327381223
ABBANK,AB Bank PLC,4.3,-2.2727272727272845,2.2727272727272645,909874,2.4240718643762524
ACFL,Aman Cotton Fibrous PLC,24.0,0.0,-2.083333333333333,304200,-13.045218201619612
ACI,Advanced Chemical Industries PLC,194.3,-0.41004613018963754,-0.10251153254740578,45457,-27.109022978368586
ACIFORMULA,ACI Formulations PLC,143.6,-1.0337698139214335,-0.13783597518951662,29877,-53.839379519189166
ACMELAB,ACME Laboratories Ltd.,79.1,-2.7060270602706065,0.12300123001231063,787909,-61.72212983623633
ACMEPL,ACME Pesticides Ltd,24.1,-1.2295081967212997,0.0,3941325,-42.6790318107322
ACTIVEFINE,Active Fine Chemicals Ltd.,6.9,-2.8169014084506943,0.0,340037,-73.04265377294395
ADNTEL,ADN Telecom Ltd.,63.2,-1.4040561622464767,-0.1560062402496011,674396,-47.52464076653073
ADVENT,Advent Pharma Ltd.,14.7,-0.6756756756756852,0.6756756756756733,322050,-50.877134110533696
AFCAGRO,AFC Agro Biotech Ltd.,7.2,-6.493506493506493,-1.2987012987013056,405048,10.681553620907318
AFTABAUTO,Aftab Automobiles Ltd.,30.2,1.342281879194626,0.671140939597313,381825,32.02846482871656
AGNISYSL,Agni Systems PLC,30.5,1.328903654485045,0.0,4121304,-30.222902841585842
AGRANINS,Agrani Insurance PLC,26.2,1.5503875968992191,-0.7751937984496096,284885,-60.1504264226795
AIBL1STIMF,AIBL 1st ISLAMIC Mutual Fund 2010- Units,4.1,-2.380952380952394,0.0,242839,-81.39746347502084
AIL,Alif Industries Ltd.,33.7,1.8126888217522703,-0.9063444108761458,483431,27.835659472295237
AL-HAJTEX,Alhaj Textile Mills Limited,99.6,-1.968503937007874,-0.39370078740156644,366510,13.872137351216828
ALARABANK,Al-Arafah Islami Bank PLC,14.5,1.3986013986013937,0.6993006993006968,58010,15.392266072565244
ALIF,Alif Manufacturing Company Ltd.,5.4,0.0,3.7037037037036904,237243,-66.13673312960057
ALLTEX,Alltex Industries Limited,16.7,-1.1834319526627177,0.0,293577,-22.440002536220398
AMANFEED,Aman Feed PLC,31.2,-1.2658227848101333,-0.3164556962025361,904248,-19.80254131386654
AMBEEPHA,Ambee Pharmaceuticals PLC,774.5,-0.6286887349242979,-0.9366179112137484,1745,536.8613138686131
AMCLPRAN,Agricultural Marketing Co. Ltd.,216.7,-1.0050251256281486,-0.41114664230242376,13343,-21.787807737397422
ANLIMAYARN,Anlima Yarn Dyeing Ltd.,29.5,0.0,0.0,274085,-6.0155403459201455
