Symbol,Name,Price,Change %,Gap %,Volume,Volume Change %
1JANATAMF,First Janata Bank Mutual Fund Units,3.9,0.0,-5.1282051282051215,4402215,-43.93605456454374
1STPRIMFMF,Prime Finance First Mutual Fund 2009 Units,23.5,-1.673640167364011,-0.4184100418409953,226978,-46.10838724995548
AAMRANET,aamra networks ltd,21.1,2.9268292682926895,3.4146341463414602,212936,-14.362472249927608
AAMRATECH,Aamra Technologies Limited,19.0,7.954545454545446,10.22727272727271,313990,46.39320415508849
ABB1STMF,AB Bank 1st Mutual Fund 2011 Units,4.0,0.0,-2.500000000000002,4246404,-49.54652630703472
ABBANK,AB Bank PLC,5.1,1.9999999999999927,0.0,531409,37.93301251602789
ACFL,Aman Cotton Fibrous PLC,22.8,-1.7241379310344769,-0.8620689655172384,18145,-56.05792749376408
ACI,Advanced Chemical Industries PLC,199.0,-0.5497251374312815,-0.5497251374312815,44711,-45.04547689282202
ACIFORMULA,ACI Formulations PLC,173.0,-0.05777007510109435,-2.021952628538417,175989,-54.41313605421031
ACMELAB,ACME Laboratories Ltd.,82.5,-0.3623188405797067,0.24154589371981022,225475,-45.01347380229481
ACMEPL,ACME Pesticides Ltd,21.3,-4.484304932735426,-4.035874439461893,670990,-30.15337340292423
ACTIVEFINE,Active Fine Chemicals Ltd.,6.7,0.0,0.0,139807,-28.26510821266945
ADNTEL,ADN Telecom Ltd.,66.8,-0.7429420505200595,-0.297176820208028,81267,-57.86829662809506
ADVENT,Advent Pharma Ltd.,15.4,0.0,0.0,369804,110.66411457087193
AFCAGRO,AFC Agro Biotech Ltd.,7.0,-2.77777777777778,-4.166666666666664,75074,8.529216179489403
AFTABAUTO,Aftab Automobiles Ltd.,30.5,0.3289473684210573,-1.9736842105263088,57849,-72.23923141891892
AGNISYSL,Agni Systems PLC,32.5,-1.8126888217522703,-1.2084592145015063,795645,-71.10492357909706
AGRANINS,Agrani Insurance PLC,28.9,1.7605633802816902,3.5211267605633805,226531,-17.955060737542826
