Symbol,Name,Price,Change %,Gap %,Volume,Volume Change %
1JANATAMF,First Janata Bank Mutual Fund Units,3.2,3.2258064516129057,0.0,271870,-51.292791469296205
1STPRIMFMF,Prime Finance First Mutual Fund 2009 Units,22.2,-0.44843049327354895,0.44843049327353307,1074967,-34.05915474123098
AAMRANET,aamra networks ltd,19.6,0.0,0.0,197187,-38.94572251292689
AAMRATECH,Aamra Technologies Limited,15.3,4.081632653061234,0.0,169978,-39.253218209238995
ABB1STMF,AB Bank 1st Mutual Fund 2011 Units,3.2,0.0,0.0,1269821,77.1135625347826
ABBANK,AB Bank PLC,4.9,-1.9999999999999927,0.0,465494,68.87813408117138
ACFL,Aman Cotton Fibrous PLC,24.4,2.0920502092050213,0.0,138187,29.321978381919422
ACI,Advanced Chemical Industries PLC,193.1,0.8881922675026064,0.0,28019,-29.433838714551957
ACIFORMULA,ACI Formulations PLC,149.0,2.7586206896551726,0.5517241379310424,129042,138.41478060046188
ACMELAB,ACME Laboratories Ltd.,81.2,0.2469135802469171,0.0,363795,-0.22024256852752896
ACMEPL,ACME Pesticides Ltd,23.9,1.7021276595744619,1.7021276595744619,1367067,25.763629321820435
ACTIVEFINE,Active Fine Chemicals Ltd.,7.2,2.85714285714286,0.0,618434,367.9327799762415
ADNTEL,ADN Telecom Ltd.,67.9,0.14749262536874413,0.4424778761061905,314499,-53.09751274349851
ADVENT,Advent Pharma Ltd.,15.7,0.0,0.0,351035,98.57167100350719
AFCAGRO,AFC Agro Biotech Ltd.,7.8,1.298701298701294,0.0,70260,-67.08532237738977
AFTABAUTO,Aftab Automobiles Ltd.,30.6,0.6578947368421146,1.644736842105263,111296,-57.80662380201383
AGNISYSL,Agni Systems PLC,30.0,2.040816326530617,0.680272108843547,1715627,10.58950705419226
AGRANINS,Agrani Insurance PLC,26.3,1.5444015444015529,1.5444015444015529,146463,82.73156003593172
AIBL1STIMF,AIBL 1st ISLAMIC Mutual Fund 2010- Units,4.2,0.0,0.0,1168969,985.8473828433422
AIL,Alif Industries Ltd.,33.4,2.7692307692307647,1.5384615384615385,118751,63.880378681239826
