Symbol,Name,Price,Change %,Gap %,Volume,Volume Change %
1JANATAMF,First Janata Bank Mutual Fund Units,3.4,0.0,2.941176470588238,573891,15.102559011293826
1STPRIMFMF,Prime Finance First Mutual Fund 2009 Units,23.0,-2.127659574468085,0.0,810711,22.539049628624202
AAMRANET,aamra networks ltd,18.4,1.6574585635358958,1.1049723756906038,444147,123.99763972523981
AAMRATECH,Aamra Technologies Limited,16.3,0.0,1.8404907975460165,38658,29.45116029869739
ABB1STMF,AB Bank 1st Mutual Fund 2011 Units,3.4,-2.85714285714286,0.0,1336036,103.57682151395515
ABBANK,AB Bank PLC,4.8,9.09090909090908,2.2727272727272645,1259205,394.1566366715198
ACFL,Aman Cotton Fibrous PLC,22.3,-0.44642857142856196,-2.678571428571419,302,-98.97121444387669
ACI,Advanced Chemical Industries PLC,185.1,2.719200887902334,1.2763596004439575,16419,82.98228017385489
ACIFORMULA,ACI Formulations PLC,155.5,2.302631578947368,0.13157894736841358,150583,23.080632637214435
ACMELAB,ACME Laboratories Ltd.,77.6,0.0,1.0309278350515612,120198,45.59924413111418
ACMEPL,ACME Pesticides Ltd,24.4,-0.8130081300813123,0.0,1648773,-42.895878863024755
ACTIVEFINE,Active Fine Chemicals Ltd.,5.6,-1.75438596491229,0.0,91752,-6.592824856456407
ADNTEL,ADN Telecom Ltd.,56.9,0.0,0.35149384885765,306423,93.80245523714352
ADVENT,Advent Pharma Ltd.,13.7,1.481481481481476,0.740740740740738,59070,5.011466462818439
AFCAGRO,AFC Agro Biotech Ltd.,6.2,-3.1250000000000027,0.0,26944,-45.73649655616869
AFTABAUTO,Aftab Automobiles Ltd.,26.0,0.0,0.0,68504,26.36549777720389
AGNISYSL,Agni Systems PLC,29.6,4.593639575971734,0.0,878747,112.18341402165908
AGRANINS,Agrani Insurance PLC,27.7,-1.4234875444839934,-5.338078291814946,85846,-28.58307543842135
AIBL1STIMF,AIBL 1st ISLAMIC Mutual Fund 2010- Units,5.7,-3.3898305084745792,0.0,1830047,6.849583005397225
AIL,Alif Industries Ltd.,31.2,-1.5772870662460567,2.2082018927444773,32462,-53.26384289786633
AL-HAJTEX,Alhaj Textile Mills Limited,77.6,9.91501416430595,1.41643059490085,481472,99.46557516954525
ALARABANK,Al-Arafah Islami Bank PLC,15.4,1.9867549668874218,4.63576158940398,8922,-80.81579117122153
ALIF,Alif Manufacturing Company Ltd.,5.2,-3.703703703703707,0.0,367997,173.85415658929728
ALLTEX,Alltex Industries Limited,24.1,0.41666666666667257,-0.41666666666667257,171259,8.951701147670306
AMANFEED,Aman Feed PLC,31.3,0.9677419354838732,1.6129032258064515,471034,122.55222040056508
AMBEEPHA,Ambee Pharmaceuticals PLC,759.3,2.042736191372118,3.4538368498857586,707,-53.669724770642205
AMCLPRAN,Agricultural Marketing Co. Ltd.,211.1,1.053135471517467,1.340354236476775,4065,5.447470817120623
