Symbol,Name,Price,Change %,Gap %,Volume,Volume Change %
1JANATAMF,First Janata Bank Mutual Fund Units,2.8,0.0,0.0,322008,-59.534177062480445
1STPRIMFMF,Prime Finance First Mutual Fund 2009 Units,17.9,0.5617977528089768,1.1235955056179736,40603,-74.96207589753709
AAMRANET,aamra networks ltd,15.9,-0.6249999999999978,1.2499999999999956,47434,-30.694602729318255
AAMRATECH,Aamra Technologies Limited,12.5,3.305785123966945,2.4793388429752126,79182,49.892098587816605
ABB1STMF,AB Bank 1st Mutual Fund 2011 Units,2.9,0.0,0.0,2081626,10.258417586887802
ABBANK,AB Bank PLC,6.5,1.5624999999999944,1.5624999999999944,291904,-90.69186047994775
ACFL,Aman Cotton Fibrous PLC,17.3,1.1695906432748495,2.339181286549699,10101,-44.63385222538917
ACI,Advanced Chemical Industries PLC,208.1,-0.9047619047619075,-0.09523809523808983,27764,-78.90754387297729
ACIFORMULA,ACI Formulations PLC,141.0,-0.07087172218284502,0.2834868887314002,7340,-46.892410100571595
ACMELAB,ACME Laboratories Ltd.,77.3,-0.6426735218508998,0.0,61874,-73.0102508178844
ACMEPL,ACME Pesticides Ltd,16.7,0.0,1.1976047904191574,302571,-88.16077687772972
ACTIVEFINE,Active Fine Chemicals Ltd.,6.7,1.5151515151515234,-1.5151515151515098,29336,-92.8202216391902
ADNTEL,ADN Telecom Ltd.,58.2,-0.1715265866209165,0.6861063464837147,103703,-56.94577067747212
ADVENT,Advent Pharma Ltd.,13.3,0.0,-0.7518796992481309,33501,8.06077027288562
AFCAGRO,AFC Agro Biotech Ltd.,6.7,0.0,1.4925373134328304,10566,-97.71122336692343
AFTABAUTO,Aftab Automobiles Ltd.,28.8,2.85714285714286,0.3571428571428622,94753,17.3324582693546
AGNISYSL,Agni Systems PLC,20.5,-0.9661835748792237,0.0,92148,-81.89658729020508
AGRANINS,Agrani Insurance PLC,21.2,-0.46948356807512404,0.9389671361502313,5703,-96.47061007760573
AIBL1STIMF,AIBL 1st ISLAMIC Mutual Fund 2010- Units,3.7,0.0,-2.702702702702705,25102,-83.6671221289609
AIL,Alif Industries Ltd.,29.4,0.6849315068493127,1.3698630136986376,137693,-66.03703310879308
AL-HAJTEX,Alhaj Textile Mills Limited,126.5,-0.7843137254901961,-0.39215686274509803,18452,-83.94431150750489
ALARABANK,Al-Arafah Islami Bank PLC,17.4,-0.5714285714285796,-0.5714285714285796,11749,-96.45512255759785
ALIF,Alif Manufacturing Company Ltd.,4.8,0.0,2.0833333333333446,35070,-92.6795360992594
ALLTEX,Alltex Industries Limited,14.5,2.1126760563380333,0.7042253521126861,133669,20.955380007420075
AMANFEED,Aman Feed PLC,22.8,0.8849557522123862,1.3274336283185715,2281,-98.66661990191092
AMBEEPHA,Ambee Pharmaceuticals PLC,770.0,-0.7859811879912412,-0.7859811879912412,7,-97.44525547445255
AMCLPRAN,Agricultural Marketing Co. Ltd.,206.9,0.8776206728425214,0.48756704046806437,3468,-15.083251714005877
ANLIMAYARN,Anlima Yarn Dyeing Ltd.,19.9,-1.970443349753705,3.448275862068962,89136,-65.53318845847478
ANWARGALV,Anwar Galvanizing Ltd.,95.8,2.679528403001072,1.3933547695605544,217397,-42.14010060415724
AOL,Associated Oxygen Ltd,15.8,0.0,-1.2658227848101333,5452,-97.13432710300023
APEXFOODS,Apex Foods Limited,223.5,0.35922766052986593,1.7512348450830741,225,-95.19333475753045
APEXFOOT,Apex Footwear Ltd.,183.6,-0.10881392818281665,0.0544069640914006,6684,-79.97303370786517
APEXSPINN,Apex Spinning and Knitting Mills Ltd.,190.8,-0.15698587127157662,-2.3547880690737837,9941,-70.15431728113366
APEXTANRY,Apex Tannery Limited.,63.7,-0.1567398119122168,-0.6269592476489007,1104,-88.81798845335764
APOLOISPAT,Appollo Ispat Complex Ltd.,3.6,-2.702702702702705,2.7027027027026933,876022,-53.42263273551685
ARAMIT,Aramit Limited,166.4,0.0,-2.0432692307692344,3953,-42.38449205655152
ARAMITCEM,Aramit Cement Limited,11.8,6.306306306306316,-0.9009009009008978,2462,-87.85576875647413
ARGONDENIM,Argon Denims Ltd.,16.7,-0.5952380952381037,0.5952380952380826,26090,-62.85433603371442
