Symbol,Name,Price,Change %,Volume,Relative Volume,Market Capital,P/E,EPS dil TTM,EPS dil growth TTM YoY,Div Yield % TTM,Sector,Analyst Rating,Ticker,Currency
GP,Grameenphone Ltd.,243.4,-0.8553971486761687,52024,0.5963422112943253,331498661987.0,11.008294664097763,22.1106,2.0101592164208397,8.85502471169687,Communications,Buy,DSEBD:GP,BDT
SQURPHARMA,Square Pharmaceuticals PLC,212.2,-0.7019185774450164,155212,0.8005690202710877,189434573595.0,7.249347490400251,29.2716,15.9661668284373,5.63115908024402,Health technology,StrongBuy,DSEBD:SQURPHARMA,BDT
ROBI,Robi Axiata PLc,28.6,0.0,903000,0.6162588745884526,149804888815.0,15.986584684181109,1.789,33.338302153983754,6.14035087719298,Communications,NoRating,DSEBD:ROBI,BDT
BRACBANK,BRAC Bank PLC,73.6,0.8219178082191704,404465,0.42484989263865314,145337608765.0,9.331811842272094,7.887,41.87803561791688,1.5220698630137,Finance,StrongBuy,DSEBD:BRACBANK,BDT
BATBC,British American Tobacco Bangladesh Co Ltd,222.9,-0.9773434029320252,45698,0.39558791958393386,121554003296.0,20.610835252018088,10.8147,-66.64507712094154,13.3096716947649,Consumer non-durables,Buy,DSEBD:BATBC,BDT
WALTONHIL,Walton Hi-Tech Industries PLC,361.9,-0.6587976942080795,10803,0.2249809444076522,121392475962.0,10.790551782125668,33.5386,-15.376017157635774,4.31491482358164,Consumer durables,NoRating,DSEBD:WALTONHIL,BDT
BEXIMCO,Bangladesh Export Import Company Ltd.,110.1,0.0,15,0.025342118601115054,103850311567.0,,,,0.0,Process industries,NoRating,DSEBD:BEXIMCO,BDT
MARICO,Marico Bangladesh Limited.,2770.0,0.1518547978884886,1944,0.9291654717522226,87122701538.0,13.854634375198504,199.9331,12.538381392982117,12.7362069588467,Consumer non-durables,Buy,DSEBD:MARICO,BDT
UPGDCL,United Power Generation & Distribution Co. Ltd.,116.8,-1.267962806424345,12840,0.5688614795714861,68577950016.99999,6.297786069383486,18.5462,1.432931164612072,5.52721088435374,Utilities,NoRating,DSEBD:UPGDCL,BDT
BERGERPBL,Berger Paints Bangladesh Ltd.,1385.3,-0.280737114886272,1011,0.6782503689789346,68218040804.00001,19.62576042206789,70.5858,0.3400306482474078,3.78623972306361,Process industries,StrongBuy,DSEBD:BERGERPBL,BDT
LHB,LafargeHolcim Bangladesh PLC,50.0,-0.3984063745019977,167924,0.40625814244872055,58300952351.0,11.36725321693266,4.3986,33.752964787447546,7.72357723577236,Non-energy minerals,StrongBuy,DSEBD:LHB,BDT
