Symbol,Name,Price,Change %,Volume,Relative Volume,Market Capital,P/E,EPS dil TTM,EPS dil growth TTM YoY,Div Yield % TTM,Sector,Analyst Rating,Ticker,Currency
GP,Grameenphone Ltd.,262.1,-1.131648434552999,519082,3.090563006863062,353913651039.0,12.036352447912122,21.7757,-16.978218682445696,10.6829454406715,Communications,Buy,DSEBD:GP,BDT
SQURPHARMA,Square Pharmaceuticals PLC,225.7,-0.17691287041132495,701328,0.5846687516490825,200071985460.0,7.710545375039287,29.2716,15.9661668284373,5.3167922020381,Health technology,StrongBuy,DSEBD:SQURPHARMA,BDT
BRACBANK,BRAC Bank PLC,87.5,-1.7957351290684562,2977472,0.9559697234558265,174206037903.0,11.094205654875111,7.887,41.87803561791688,1.26984114285714,Finance,StrongBuy,DSEBD:BRACBANK,BDT
ROBI,Robi Axiata PLc,32.9,3.785488958990534,15654997,3.0931532471703767,172328007162.0,18.627561997508774,1.7662,67.76215805471125,4.55927051671733,Communications,NoRating,DSEBD:ROBI,BDT
BATBC,British American Tobacco Bangladesh Co Ltd,274.4,-1.2594458438287155,213217,1.4265508656640216,148175996704.0,12.901284486487501,21.2692,-34.5474464235158,10.932944606414,Consumer non-durables,Neutral,DSEBD:BATBC,BDT
WALTONHIL,Walton Hi-Tech Industries PLC,416.2,0.024032684450844964,12299,0.36760618106823695,138686663931.0,12.409581795304513,33.5386,-15.376017157635774,3.82246298763707,Consumer durables,NoRating,DSEBD:WALTONHIL,BDT
BEXIMCO,Bangladesh Export Import Company Ltd.,110.1,0.0,14,0.099009900990099,103850311567.0,,,,0.0,Process industries,NoRating,DSEBD:BEXIMCO,BDT
MARICO,Marico Bangladesh Limited.,2877.1,0.9154682567520136,2309,0.4417954997703965,90628653076.0,14.390313559885781,199.9331,12.538381392982117,12.2519203364499,Consumer non-durables,Buy,DSEBD:MARICO,BDT
ISLAMIBANK,Islami Bank Bangladesh PLC,45.7,3.6281179138322024,1316607,0.6288635966001425,73576571675.0,,-0.3675,-112.71758314011835,0.0,Finance,NoRating,DSEBD:ISLAMIBANK,BDT
UPGDCL,United Power Generation & Distribution Co. Ltd.,126.1,0.15885623510721894,21439,0.4554299382676683,73099570325.0,6.79923650127789,18.5462,1.432931164612072,5.15463917525773,Utilities,NoRating,DSEBD:UPGDCL,BDT
BERGERPBL,Berger Paints Bangladesh Ltd.,1439.5,-0.1040943789035392,10688,1.11514544468094,70688074568.0,20.39362024656517,70.5858,0.3400306482474078,3.64709968739146,Process industries,NoRating,DSEBD:BERGERPBL,BDT
LHB,LafargeHolcim Bangladesh PLC,54.5,1.113172541743973,978102,0.8477766083301671,63294857666.0,15.563424524530243,3.5018,0.7712230215827255,6.78899082568807,Non-energy minerals,StrongBuy,DSEBD:LHB,BDT
BXPHARMA,Beximco Pharmaceuticals Plc,131.6,3.86740331491712,1602071,2.405716461789403,58708353907.0,,,,3.03951367781155,Health technology,StrongBuy,DSEBD:BXPHARMA,BDT
RENATA,Renata PLC,454.0,-0.8950010914647507,36477,0.7529507445495341,52072208755.0,20.528867023585587,22.1152,-14.236629528082739,1.21145374449339,Health technology,StrongBuy,DSEBD:RENATA,BDT
PUBALIBANK,Pubali Bank PLC,40.0,0.0,532502,1.072478099878051,52057392578.0,6.396724876863047,6.2532,-15.228089202196168,2.469135,Finance,NoRating,DSEBD:PUBALIBANK,BDT
CITYBANK,City Bank PLC,33.0,2.484472049689432,15857673,1.2508899009366745,50200331543.0,3.8977605593876974,8.4664,80.65892796176169,3.36700303030303,Finance,Buy,DSEBD:CITYBANK,BDT
EBL,Eastern Bank PLC,28.7,2.135231316725971,5723187,1.486424708282775,45799844491.0,5.857621030288186,4.8996,20.421756334947297,5.18941567944251,Finance,StrongBuy,DSEBD:EBL,BDT
UNILEVERCL,Unilever Consumer Care Limited,2234.8,0.2377214622112663,530,0.8744431611945201,43074248361.0,59.600070406383516,37.4966,-15.559418906046272,2.32683014139968,Health technology,NoRating,DSEBD:UNILEVERCL,BDT
DUTCHBANGL,Dutch-Bangla Bank PLC,43.8,3.3018867924528266,1356536,2.8330973003690554,42341507917.0,8.60798301986911,5.0883,-21.334817494550343,1.88686301369863,Finance,NoRating,DSEBD:DUTCHBANGL,BDT
PRIMEBANK,Prime Bank PLC,34.1,-0.583090379008734,1628135,1.2283228054377295,39576136877.0,4.572455314641243,7.4577,37.350129841427695,5.00679472140762,Finance,StrongBuy,DSEBD:PRIMEBANK,BDT
ICB,Investment Corporation of Bangladesh,41.4,2.4752475247524752,134129,0.737086735417246,35904520244.0,,-14.8951,-766.1791672257257,0.483091787439614,Finance,NoRating,DSEBD:ICB,BDT
OLYMPIC,Olympic Industries PLC.,157.8,-0.8170961659333645,590369,0.8453390719367772,31550354815.0,15.432762836185821,10.225,10.811279450332709,1.90114068441065,Consumer non-durables,StrongSell,DSEBD:OLYMPIC,BDT
MJLBD,MJL Bangladesh PLC,93.1,-0.10729613733906494,56378,0.35146363176176926,29489614876.0,,,,5.58539205155747,Process industries,NoRating,DSEBD:MJLBD,BDT
POWERGRID,Power Grid Co. of Bangladesh Ltd.,31.8,0.632911392405061,49537,0.4772916251155002,29059062120.0,25.991009399264406,1.2235,,0.0,Utilities,NoRating,DSEBD:POWERGRID,BDT
BANKASIA,Bank Asia PLC,21.9,4.2857142857142785,7157384,2.9582379717520584,28086696044.0,6.493891590558652,3.3724,505.56652899982055,4.15110045662105,Finance,StrongBuy,DSEBD:BANKASIA,BDT
BSRMSTEEL,BSRM Steels Limited,74.0,1.5089163237311307,343724,1.1510241122212008,27820486084.0,5.1983084423339,14.2354,33.59548031082248,6.75675675675676,Non-energy minerals,NoRating,DSEBD:BSRMSTEEL,BDT
BSCPLC,Bangladesh Submarine Cables PLC,146.0,-0.06844626967829864,169222,0.801206387985359,27307671936.0,11.675236503506568,12.5051,65.92054983547393,2.73972602739726,Communications,StrongBuy,DSEBD:BSCPLC,BDT
UTTARABANK,Uttara Bank PLC,26.2,3.557312252964421,9927333,3.720384361613277,25421044869.0,5.105918578138093,5.1313,13.869471628608835,4.8379465648855,Finance,NoRating,DSEBD:UTTARABANK,BDT
BEACONPHAR,Beacon Pharmaceuticals PLC,109.7,1.292705447830107,388920,0.9229411094657706,25340699295.0,,,,1.91431175934366,Health technology,NoRating,DSEBD:BEACONPHAR,BDT
BSRMLTD,Bangladesh Steel Re-Rolling Mills Ltd.,84.1,0.0,105246,0.9549587151801107,25110966527.0,4.078109619198634,20.6223,37.79065105837074,5.94530321046373,Non-energy minerals,NoRating,DSEBD:BSRMLTD,BDT
JAMUNABANK,Jamuna Bank PLC,26.1,2.3529411764705936,5542811,1.317067153800908,24516712932.0,8.663325256414511,3.0127,-13.972015990862355,5.91150574712644,Finance,NoRating,DSEBD:JAMUNABANK,BDT
MPETROLEUM,Meghna Petroleum Limited,201.9,0.44776119402985354,11910,0.39780356319765925,21848831995.0,3.2795832541457735,61.5627,25.24606639622082,9.90589400693413,Distribution services,NoRating,DSEBD:MPETROLEUM,BDT
KOHINOOR,Kohinoor Chemical Co. (Bangladesh) Ltd.,520.7,0.6378044066486409,7600,0.6263701847792045,21233049417.0,,,,1.03166909928942,Consumer non-durables,NoRating,DSEBD:KOHINOOR,BDT
