Symbol,Name,Price,Change %,Volume,Relative Volume,Market Capital,P/E,EPS dil TTM,EPS dil growth TTM YoY,Div Yield % TTM,Sector,Analyst Rating,Ticker,Currency
GP,Grameenphone Ltd.,294.5,0.17006802721088435,232,0.004034901901447521,397393287887.0,13.50452825862662,21.8075,-16.663800581624187,9.51410125722052,Communications,Neutral,DSEBD:GP,BDT
SQURPHARMA,Square Pharmaceuticals PLC,212.6,0.14130946773433017,34891,0.08172815544441712,188725410099.0,8.018435613018077,26.5139,16.131646146231642,5.16674495068107,Health technology,Neutral,DSEBD:SQURPHARMA,BDT
ROBI,Robi Axiata PLc,30.3,1.3377926421404756,701184,0.18967823350675364,156614197855.0,18.21022898010698,1.6639,85.952168082253,5.08474576271187,Communications,Neutral,DSEBD:ROBI,BDT
BATBC,British American Tobacco Bangladesh Co Ltd,260.8,0.4235656526761736,2610,0.021801214686835324,143208006592.0,11.351468988030467,22.975,-29.649272149379318,11.3122171945701,Consumer non-durables,Buy,DSEBD:BATBC,BDT
BRACBANK,BRAC Bank PLC,69.0,0.0,272257,0.371178729722029,138767546402.0,9.701230228471003,7.1125,45.482623903127504,1.59413342898135,Finance,Buy,DSEBD:BRACBANK,BDT
WALTONHIL,Walton Hi-Tech Industries PLC,399.0,0.808489135927233,91,0.0013125021839797573,135487738460.0,10.301559434059692,38.732,-0.34503075945362066,3.55701205115593,Consumer durables,Neutral,DSEBD:WALTONHIL,BDT
BEXIMCO,Bangladesh Export Import Company Ltd.,110.1,0.0,1260,78.75000000000067,103850264528.0,,,,0.0,Process industries,Neutral,DSEBD:BEXIMCO,BDT
MARICO,Marico Bangladesh Limited.,2760.0,-0.23134759976865568,10,0.002035499104380394,87141596924.0,14.191946070604933,194.4765,22.439786343512488,12.5040892733816,Consumer non-durables,Buy,DSEBD:MARICO,BDT
UPGDCL,United Power Generation & Distribution Co. Ltd.,145.0,0.6944444444444444,2630,0.047841667727793406,83650026555.0,7.209877034304098,20.1113,55.57111252069248,4.15800415800416,Utilities,Neutral,DSEBD:UPGDCL,BDT
BERGERPBL,Berger Paints Bangladesh Ltd.,1420.0,0.254165489974577,11,0.0015693659761456373,69480068379.0,20.474105303225823,69.3559,1.5366078970753978,3.71050957664853,Process industries,Neutral,DSEBD:BERGERPBL,BDT
ISLAMIBANK,Islami Bank Bangladesh PLC,40.7,0.7425742574257531,4820,0.025190312286705475,65526618672.0,,,,2.45700245700246,Finance,Neutral,DSEBD:ISLAMIBANK,BDT
LHB,LafargeHolcim Bangladesh PLC,52.9,0.7619047619047592,4131,0.006619830550926513,60972110596.0,16.39699956605294,3.2262,-21.24112003515368,7.23809523809524,Non-energy minerals,StrongBuy,DSEBD:LHB,BDT
RENATA,Renata PLC,468.7,-0.04265301770099992,395,0.016334666297241302,54079397419.0,19.10487914237965,24.533,22.658867056647168,1.95121951219512,Health technology,Neutral,DSEBD:RENATA,BDT
BXPHARMA,Beximco Pharmaceuticals Limited,116.0,2.0228671943711496,22324,0.0582146735190518,50812167853.0,,,,3.51185250219491,Health technology,StrongBuy,DSEBD:BXPHARMA,BDT
UNILEVERCL,Unilever Consumer Care Limited,2425.0,1.5026579046502906,29,0.44822256568777974,46194758675.0,73.58697829108277,32.9542,-37.006076848526085,2.16964993532774,Health technology,Neutral,DSEBD:UNILEVERCL,BDT
ICB,Investment Corporation of Bangladesh,48.5,1.0416666666666665,136,0.0013439239813352675,41628427734.0,200.49607275733774,0.2419,,0.413223140495868,Finance,Neutral,DSEBD:ICB,BDT
EBL,Eastern Bank PLC,23.6,0.854700854700867,171673,0.14614631078316517,38299520508.0,5.46321588962452,4.3198,-0.3667227898609278,6.20567625,Finance,StrongBuy,DSEBD:EBL,BDT
DUTCHBANGL,Dutch-Bangla Bank PLC,39.0,0.25706940874036355,550,0.003095624981355895,38184693878.0,10.047920853300354,3.8814,-50.95402966969091,2.09226835443038,Finance,Neutral,DSEBD:DUTCHBANGL,BDT
CITYBANK,City Bank PLC,24.2,0.41493775933609073,227299,0.09794215432493872,37878431402.0,3.4442024963351976,7.0263,63.558276496194054,4.46229317269076,Finance,Neutral,DSEBD:CITYBANK,BDT
PUBALIBANK,Pubali Bank PLC,28.2,1.4388489208633042,1043,0.005127408480920444,36179886849.0,3.9617313608968683,7.1181,9.16828980261645,3.50231914893617,Finance,Neutral,DSEBD:PUBALIBANK,BDT
PRIMEBANK,Prime Bank PLC,27.0,0.3717472118959161,694014,1.2019954106870476,31800181344.0,3.770581088441074,7.1607,45.232735016732576,6.23108394160584,Finance,StrongBuy,DSEBD:PRIMEBANK,BDT
MJLBD,MJL Bangladesh PLC,95.8,0.0,1755,0.008605408904023948,29964742943.0,9.349260256860678,10.2468,4.276148413489929,5.49682875264271,Process industries,Neutral,DSEBD:MJLBD,BDT
OLYMPIC,Olympic Industries PLC.,152.7,1.1258278145695289,1495,0.014657035180806048,29870866449.0,16.489212362049972,9.2606,10.66418106641811,0.669344042838019,Consumer non-durables,Neutral,DSEBD:OLYMPIC,BDT
POWERGRID,Power Grid Co. of Bangladesh Ltd.,30.2,0.33222591362125536,2055,0.01311336906380755,28876301765.0,,-7.6473,-234.1913210680418,0.0,Utilities,Neutral,DSEBD:POWERGRID,BDT
BEACONPHAR,Beacon Pharmaceuticals PLC,113.4,1.612903225806462,13335,0.06658740426968322,26287800705.0,,,,1.75746924428823,Health technology,Neutral,DSEBD:BEACONPHAR,BDT
