Symbol,Name,Price,Change %,Volume,Relative Volume,Market Capital,P/E,EPS dil TTM,EPS dil growth TTM YoY,Div Yield % TTM,Sector,Analyst Rating,Ticker,Currency
GP,Grameenphone Ltd.,292.0,0.41265474552956966,152,0.0032341388892435097,394827726036.0,13.389888799724865,21.8075,-16.663800581624187,9.57592339261286,Communications,Neutral,DSEBD:GP,BDT
SQURPHARMA,Square Pharmaceuticals PLC,210.0,0.4304160688665738,17629,0.038431697244816355,186509282627.0,7.9203738416453255,26.5139,16.131646146231642,5.22813688212928,Health technology,Neutral,DSEBD:SQURPHARMA,BDT
ROBI,Robi Axiata PLc,29.8,0.3367003367003415,137199,0.03344929906263507,158185583781.0,17.909730152052408,1.6639,85.952168082253,4.96688741721854,Communications,Neutral,DSEBD:ROBI,BDT
BATBC,British American Tobacco Bangladesh Co Ltd,253.9,0.4351265822784787,2651,0.01877839160348776,138240000000.0,11.051142546245918,22.975,-29.649272149379318,11.71875,Consumer non-durables,Buy,DSEBD:BATBC,BDT
BRACBANK,BRAC Bank PLC,68.6,0.43923865300146,171,0.000314471134032563,136179351524.0,9.644991212653778,7.1125,45.482623903127504,1.62443128654971,Finance,Buy,DSEBD:BRACBANK,BDT
WALTONHIL,Walton Hi-Tech Industries PLC,391.2,1.0330578512396695,300,0.007556046978462756,130289485840.0,10.100175565423939,38.732,-0.34503075945362066,3.69892864450128,Consumer durables,Neutral,DSEBD:WALTONHIL,BDT
BEXIMCO,Bangladesh Export Import Company Ltd.,110.1,0.0,4,0.028188865398167756,103850264528.0,,,,0.0,Process industries,Neutral,DSEBD:BEXIMCO,BDT
MARICO,Marico Bangladesh Limited.,2768.3,-0.20907681770663375,443,0.09446636101929844,87384153076.0,14.234624749005667,194.4765,22.439786343512488,12.4004181536354,Consumer non-durables,Buy,DSEBD:MARICO,BDT
UPGDCL,United Power Generation & Distribution Co. Ltd.,140.3,-0.4258339247693359,6230,0.10947513438380206,81679057393.0,6.976177571812862,20.1113,55.57111252069248,4.18702023726448,Utilities,Neutral,DSEBD:UPGDCL,BDT
BERGERPBL,Berger Paints Bangladesh Ltd.,1410.2,-0.381463690307987,20,0.002932852345548663,69504621375.0,20.332805139865535,69.3559,1.5366078970753978,3.70919881305638,Process industries,Neutral,DSEBD:BERGERPBL,BDT
ISLAMIBANK,Islami Bank Bangladesh PLC,40.5,0.9975062344139616,29,0.00016276927791619405,64560620627.0,,,,2.47524752475248,Finance,Neutral,DSEBD:ISLAMIBANK,BDT
LHB,LafargeHolcim Bangladesh PLC,51.8,0.9746588693957117,2871,0.005290138580993468,60507559410.0,16.056041162978115,3.2262,-21.24112003515368,7.2936660268714,Non-energy minerals,StrongBuy,DSEBD:LHB,BDT
RENATA,Renata PLC,458.0,0.9700176366842983,611,0.025788860562880923,53322399852.0,18.66873191211837,24.533,22.658867056647168,1.97892019789202,Health technology,Neutral,DSEBD:RENATA,BDT
BXPHARMA,Beximco Pharmaceuticals Limited,111.7,0.44964028776978415,4403,0.012049257737810086,50499887347.0,,,,3.53356890459364,Health technology,StrongBuy,DSEBD:BXPHARMA,BDT
UNILEVERCL,Unilever Consumer Care Limited,2382.5,-0.18433951987934521,183,3.17157712305018,46005869411.0,72.29730959938338,32.9542,-37.006076848526085,2.1785579622104,Health technology,Neutral,DSEBD:UNILEVERCL,BDT
ICB,Investment Corporation of Bangladesh,46.7,0.0,93,0.0009747620480065069,41541703167.0,193.0549813972716,0.2419,,0.417536534446764,Finance,Neutral,DSEBD:ICB,BDT
DUTCHBANGL,Dutch-Bangla Bank PLC,39.0,1.0362694300518096,110,0.0007368036786598211,37701343323.0,10.047920853300354,3.8814,-50.95402966969091,2.11909230769231,Finance,Neutral,DSEBD:DUTCHBANGL,BDT
EBL,Eastern Bank PLC,22.7,0.8888888888888857,6117,0.0042609501438183855,36544125209.0,5.254872910782907,4.3198,-0.3667227898609278,6.50376550218341,Finance,StrongBuy,DSEBD:EBL,BDT
CITYBANK,City Bank PLC,23.7,0.8510638297872309,37879,0.014588050199776468,36357209234.0,3.3730412877332308,7.0263,63.558276496194054,4.649,Finance,Neutral,DSEBD:CITYBANK,BDT
PUBALIBANK,Pubali Bank PLC,27.0,0.3717472118959161,182,0.0011175105303876923,35919601375.0,3.7931470476672144,7.1181,9.16828980261645,3.57845652173913,Finance,Neutral,DSEBD:PUBALIBANK,BDT
PRIMEBANK,Prime Bank PLC,26.8,-1.1070110701107037,375799,0.5666442853138468,31452005057.0,3.7426508581563254,7.1607,45.232735016732576,6.3000627306273,Finance,StrongBuy,DSEBD:PRIMEBANK,BDT
OLYMPIC,Olympic Industries PLC.,147.0,-1.0767160161507365,3145,0.03168009251191403,30350721576.0,15.873701488024533,9.2606,10.66418106641811,0.658761528326746,Consumer non-durables,Neutral,DSEBD:OLYMPIC,BDT
MJLBD,MJL Bangladesh PLC,94.6,0.0,163,0.0008534080562767639,30059769523.0,9.232150525041963,10.2468,4.276148413489929,5.47945205479452,Process industries,Neutral,DSEBD:MJLBD,BDT
POWERGRID,Power Grid Co. of Bangladesh Ltd.,29.2,0.6896551724137907,350,0.0027117404415023354,27048687751.0,,-7.6473,-234.1913210680418,0.0,Utilities,Neutral,DSEBD:POWERGRID,BDT
BEACONPHAR,Beacon Pharmaceuticals PLC,107.0,0.5639097744360848,13160,0.06432213463463463,25525500000.0,,,,1.80995475113122,Health technology,Neutral,DSEBD:BEACONPHAR,BDT
BSRMLTD,Bangladesh Steel Re-Rolling Mills Ltd.,88.8,5.463182897862226,6,0.00024049445660277532,25469269445.0,5.040070833427929,17.6188,-10.4139442413395,4.1031652989449,Non-energy minerals,Neutral,DSEBD:BSRMLTD,BDT
BSCPLC,Bangladesh Submarine Cables PLC,132.2,-0.30165912518854127,3921,0.02189472884821772,25268949625.0,16.788154318949534,7.8746,-32.468891232944856,2.96076980014804,Communications,Neutral,DSEBD:BSCPLC,BDT
BSRMSTEEL,BSRM Steels Limited,66.4,7.443365695792894,2011,0.028111719973160365,24436913452.0,5.6312227555676175,11.7914,-2.8026443774007936,4.92307692307692,Non-energy minerals,Neutral,DSEBD:BSRMSTEEL,BDT
MPETROLEUM,Meghna Petroleum Limited,209.1,-0.19093078758950152,57287,1.325529522284593,22671275093.0,3.6362624578073564,57.5041,42.024006520289475,8.1145584725537,Distribution services,Neutral,DSEBD:MPETROLEUM,BDT
BANKASIA,Bank Asia PLC,17.6,3.5294117647058907,214208,0.5113168184009891,22058958986.0,7.797616410438174,2.2571,43.08989476353493,5.28541279069773,Finance,Neutral,DSEBD:BANKASIA,BDT
KOHINOOR,Kohinoor Chemical Co. (Bangladesh) Ltd.,569.9,1.5321574915375062,1678,0.1245065740658297,20763361022.0,35.68990675158597,15.9681,39.84043857498162,0.811543474379575,Consumer non-durables,Neutral,DSEBD:KOHINOOR,BDT
UTTARABANK,Uttara Bank PLC,21.1,0.0,14009,0.016804621948786767,20472673313.0,4.438647790142415,4.7537,18.054486303921333,6.00730805687204,Finance,Neutral,DSEBD:UTTARABANK,BDT
JAMUNAOIL,Jamuna Oil Company Limited,184.5,0.7096069868995696,1150,0.02702156555901718,20251870726.0,3.6862326702110444,50.0511,36.55426992134318,8.17884405670665,Energy minerals,Neutral,DSEBD:JAMUNAOIL,BDT
JAMUNABANK,Jamuna Bank PLC,20.8,-0.47846889952152094,31371,0.02492889888026166,19632156453.0,6.9073157772390665,3.0113,-5.655116235353102,7.38231100478469,Finance,Neutral,DSEBD:JAMUNABANK,BDT
PADMAOIL,Padma Oil PLC,193.0,-0.8221993833504595,26734,1.3076505431831318,19116093738.0,3.457405834954552,55.8222,49.563544585970206,7.19424460431655,Distribution services,Neutral,DSEBD:PADMAOIL,BDT
ALARABANK,Al-Arafah Islami Bank PLC,16.7,1.8292682926829311,23,0.0008699829407692935,18887744629.0,33.266932270916335,0.502,-78.43827849841078,5.80719512195122,Finance,Neutral,DSEBD:ALARABANK,BDT
TITASGAS,Titas Gas Transmission and Distribution PLC,18.0,0.0,16000,0.07872171676319917,18300603333.0,,-15.43,-351.79047228647556,2.7027027027027,Utilities,Neutral,DSEBD:TITASGAS,BDT
SHAHJABANK,Shahjalal Islami Bank PLC,16.5,2.484472049689432,1812,0.0031605733475407976,18252681070.0,11.774780560907729,1.4013,-58.340517882094126,6.09756097560976,Finance,Neutral,DSEBD:SHAHJABANK,BDT
TRUSTBANK,Trust Bank PLC,17.4,0.0,763,0.0013248094088901831,17396391754.0,4.618447246184472,3.7675,-12.694366556206976,3.70856571428571,Finance,Neutral,DSEBD:TRUSTBANK,BDT
IDLC,IDLC Finance PLC.,39.2,1.5544041450777237,501,0.0019265948148065543,17022852539.0,7.318348144276007,5.3564,51.42194832362752,3.66300265131687,Finance,Buy,DSEBD:IDLC,BDT
BSC,Bangladesh Shipping Corporation,105.2,1.8393030009680598,46794,0.05057369597161285,16321250290.0,5.336228017226074,19.7143,33.99329839800449,2.33644859813084,Transportation,Neutral,DSEBD:BSC,BDT
BESTHLDNG,Best Holdings PLC,15.0,1.3513513513513467,10963,0.014152037000031497,16206223590.0,28.946352759552298,0.5182,,6.5359477124183,Industrial services,Neutral,DSEBD:BESTHLDNG,BDT
