Symbol,Name,Price,Change %,Volume,Relative Volume,Market Capital,P/E,EPS dil TTM,EPS dil growth TTM YoY,Div Yield % TTM,Sector,Analyst Rating,Ticker,Currency
GP,Grameenphone Ltd.,242.7,-0.08233841086867726,46307,0.4846185644691194,328122911865.0,10.976635640823856,22.1106,2.0101592164208397,8.8477366255144,Communications,Buy,DSEBD:GP,BDT
SQURPHARMA,Square Pharmaceuticals PLC,211.0,-0.14197823000473797,185534,0.9689972481343021,187750322127.0,7.208352122876782,29.2716,15.9661668284373,5.6657223796034,Health technology,StrongBuy,DSEBD:SQURPHARMA,BDT
ROBI,Robi Axiata PLc,30.0,1.694915254237288,2933800,1.7158144957609065,150852469441.0,16.769144773616546,1.789,33.338302153983754,6.07638888888889,Communications,NoRating,DSEBD:ROBI,BDT
BRACBANK,BRAC Bank PLC,73.7,-0.27063599458728393,407117,0.4113451343671337,145735787918.0,9.344490934449095,7.887,41.87803561791688,1.51791120218579,Finance,StrongBuy,DSEBD:BRACBANK,BDT
WALTONHIL,Walton Hi-Tech Industries PLC,362.3,0.0,16987,0.34399243447497974,120726033579.0,10.80247833839218,33.5386,-15.376017157635774,4.39113744260157,Consumer durables,NoRating,DSEBD:WALTONHIL,BDT
BATBC,British American Tobacco Bangladesh Co Ltd,220.1,-0.31702898550725406,54842,0.4438096317097087,118907998352.0,20.351928393760343,10.8147,-66.64507712094154,1.36239782016349,Consumer non-durables,Buy,DSEBD:BATBC,BDT
BEXIMCO,Bangladesh Export Import Company Ltd.,110.1,0.0,15,0.025342118601115054,103850311567.0,,,,0.0,Process industries,NoRating,DSEBD:BEXIMCO,BDT
MARICO,Marico Bangladesh Limited.,2761.0,-0.2312640023126433,1311,0.609455627353447,87214048462.0,13.809619317661758,199.9331,12.538381392982117,12.7316068913208,Consumer non-durables,Buy,DSEBD:MARICO,BDT
UPGDCL,United Power Generation & Distribution Co. Ltd.,117.4,0.2561912894961669,10397,0.44205495818398516,68056223407.0,6.330137710150868,18.5462,1.432931164612072,5.5366269165247,Utilities,NoRating,DSEBD:UPGDCL,BDT
BERGERPBL,Berger Paints Bangladesh Ltd.,1383.5,0.09405295905078531,1082,0.7234071003543491,67923404855.99999,19.600259542287542,70.5858,0.3400306482474078,3.79554655870445,Process industries,StrongBuy,DSEBD:BERGERPBL,BDT
LHB,LafargeHolcim Bangladesh PLC,50.4,0.0,224082,0.5151343502900585,58068676758.0,11.458191242668121,4.3986,33.752964787447546,7.6,Non-energy minerals,StrongBuy,DSEBD:LHB,BDT
ISLAMIBANK,Islami Bank Bangladesh PLC,33.0,-0.6024096385542254,466164,0.9376766954059345,53612685771.0,,-0.3675,-112.71758314011835,0.0,Finance,NoRating,DSEBD:ISLAMIBANK,BDT
BXPHARMA,Beximco Pharmaceuticals Plc,116.4,1.9264448336252213,283428,0.840533807829187,51213669416.0,,,,3.48432055749129,Health technology,StrongBuy,DSEBD:BXPHARMA,BDT
CITYBANK,City Bank PLC,28.6,-0.33333363233332486,7724735,0.6113130920694824,50200331543.0,3.378059151469338,8.4664,80.65892796176169,3.36700303030303,Finance,Buy,DSEBD:CITYBANK,BDT
PUBALIBANK,Pubali Bank PLC,38.5,-0.259067357512957,454739,0.47843729079369723,49844952401.0,6.156847693980683,6.2532,-15.228089202196168,2.57873107049608,Finance,StrongBuy,DSEBD:PUBALIBANK,BDT
RENATA,Renata PLC,415.9,0.26518804243007854,8898,0.3206255405015855,47748149492.0,18.806070033280275,22.1152,-14.236629528082739,1.32116262310834,Health technology,StrongBuy,DSEBD:RENATA,BDT
EBL,Eastern Bank PLC,27.1,-0.73260073260073,5426003,1.3632414335925425,43725285304.0,5.531063760306964,4.8996,20.421756334947297,5.43562883211679,Finance,StrongBuy,DSEBD:EBL,BDT
DUTCHBANGL,Dutch-Bangla Bank PLC,42.6,0.23529411764706218,266645,0.3841345494484724,41858157362.0,8.372147868639821,5.0883,-21.334817494550343,1.90865127020785,Finance,NoRating,DSEBD:DUTCHBANGL,BDT
