Symbol,Name,Tech Rating,MA Rating,Os Rating,RSI (14),Mom (10),AO,CCI (20),"Stoch (14,3,3) %K","Stoch (14,3,3) %D",Patterns
1JANATAMF,First Janata Bank Mutual Fund Units,Sell,Sell,Sell,43.07780139536148,-0.30000000000000027,-0.20588235294117396,-79.75921745673196,33.333333333333336,44.44444444444445,Black Marubozu
1STPRIMFMF,Prime Finance First Mutual Fund 2009 Units,Buy,Strong buy,Neutral,55.19791648845301,1.8999999999999986,-0.5094117647059093,83.1571529245911,73.64341085271317,66.51789209928745,
AAMRANET,aamra networks ltd,Sell,Strong sell,Neutral,40.981926164461505,-1.3999999999999986,-2.2114705882353185,-76.34470792365511,15.5458089668616,14.376218323586741,
AAMRATECH,Aamra Technologies Limited,Sell,Strong sell,Sell,39.84848852756125,-0.6999999999999993,-2.5979411764706093,-89.36764412527427,17.928938756428252,15.801642325768752,
ABB1STMF,AB Bank 1st Mutual Fund 2011 Units,Sell,Sell,Sell,43.93962807186872,-0.20000000000000018,-0.19264705882352962,-60.60606060606079,33.33333333333335,42.7777777777778,"Gravestone Doji, Long Upper Shadow"
ABBANK,AB Bank PLC,Sell,Strong sell,Neutral,27.48878485131212,-0.1999999999999993,-0.32617647058825305,-102.56410256410211,20.000000000000103,20.00000000000004,"Gravestone Doji, Long Upper Shadow"
ACFL,Aman Cotton Fibrous PLC,Neutral,Neutral,Sell,46.09494490045583,-1.4000000000000021,-1.0988235294117459,-112.43781094527478,49.57264957264954,49.572649572649546,
ACI,Advanced Chemical Industries PLC,Sell,Strong sell,Neutral,26.951792907893676,-10.0,-10.510294117647135,-194.99497343099415,11.970841809551468,11.114053998304454,
ACIFORMULA,ACI Formulations PLC,Sell,Strong sell,Neutral,41.250802449466946,-3.9000000000000057,-12.539705882352962,-70.3154936773543,32.15876398638315,30.90632074766022,Bullish Harami
ACMELAB,ACME Laboratories Ltd.,Sell,Strong sell,Neutral,36.760804188438755,-1.5,-3.6908823529411734,-90.97446961524734,15.45983499782893,10.886154934787134,
ACMEPL,ACME Pesticides Ltd,Buy,Buy,Neutral,50.86140774886102,-0.5,-0.3144117647058984,23.529411764708495,29.03225806451614,24.731182795698924,
ACTIVEFINE,Active Fine Chemicals Ltd.,Sell,Strong sell,Sell,33.3017213556563,-0.39999999999999947,-0.7258823529411993,-95.45715928695004,7.500000000000047,4.7222222222222925,Doji
ADNTEL,ADN Telecom Ltd.,Sell,Strong sell,Neutral,30.973076998051013,-4.600000000000001,-6.178235294117648,-131.46055660179977,12.118437118437084,12.257138572928001,
ADVENT,Advent Pharma Ltd.,Sell,Strong sell,Neutral,34.45869395640187,-0.9000000000000004,-1.367647058823536,-129.4261294261301,10.925925925925931,9.460688758934394,White Spinning Top
AFCAGRO,AFC Agro Biotech Ltd.,Sell,Strong sell,Neutral,42.29978927241954,-0.39999999999999947,-0.6458823529411317,-118.68686868686966,18.48484848484848,9.971139971139957,White Marubozu
AFTABAUTO,Aftab Automobiles Ltd.,Sell,Strong sell,Neutral,32.1023049693723,-2.0,-2.7485294117647427,-131.89804503835666,16.40243902439027,15.057104142470022,
AGNISYSL,Agni Systems PLC,Sell,Strong sell,Neutral,40.068301896270086,-0.5,-2.0200000000000067,-130.5975521958219,10.828877005347607,17.840166369578146,
AGRANINS,Agrani Insurance PLC,Sell,Sell,Neutral,44.800824161664664,-1.0999999999999979,-2.3661764705882504,-112.28564716936877,19.43989816330241,15.409453603537676,
AIBL1STIMF,AIBL 1st ISLAMIC Mutual Fund 2010- Units,Buy,Strong buy,Neutral,52.83277170432381,0.7000000000000002,0.003529411764700896,78.69742198100455,75.0,81.2652625152625,Doji
AIL,Alif Industries Ltd.,Sell,Strong sell,Neutral,38.68345882249889,-2.599999999999998,-4.470588235294024,-112.22685360617368,16.680672268907568,17.787114845938376,
AL-HAJTEX,Alhaj Textile Mills Limited,Sell,Strong sell,Buy,29.323449103690876,-15.200000000000003,-19.711764705882402,-116.75459775254208,11.983127895795093,6.346323597060253,White Marubozu
ALARABANK,Al-Arafah Islami Bank PLC,Strong sell,Strong sell,Sell,38.213903041774635,-2.0999999999999996,-1.0888235294117692,-120.71211463308775,20.370370370370356,14.288952355047828,"Inverted Hammer, Long Upper Shadow"
ALIF,Alif Manufacturing Company Ltd.,Neutral,Sell,Neutral,45.82977430748808,-0.09999999999999964,-0.2511764705882378,-102.22222222222075,19.0476190476191,14.232804232804293,
ALLTEX,Alltex Industries Limited,Buy,Strong buy,Neutral,55.86842811443353,0.10000000000000142,0.40823529411766657,-60.96866096865899,19.354838709677455,23.655913978494713,
AMANFEED,Aman Feed PLC,Sell,Strong sell,Neutral,35.49059639811594,-3.5,-4.949411764705875,-95.45559400230701,9.9294121379398,12.362890005590351,Bullish Harami
AMBEEPHA,Ambee Pharmaceuticals PLC,Sell,Strong sell,Neutral,40.25442795861657,-6.100000000000023,-25.287941176468053,-94.3566962816779,19.966583124477854,18.93849779465029,Black Spinning Top
