Symbol,Name,Tech Rating,MA Rating,Os Rating,RSI (14),Mom (10),AO,CCI (20),"Stoch (14,3,3) %K","Stoch (14,3,3) %D",Patterns
1JANATAMF,First Janata Bank Mutual Fund Units,Buy,Strong buy,Neutral,58.39253845531883,0.0,0.46058823529411974,48.46822130772772,57.03703703703706,62.962962962962955,
1STPRIMFMF,Prime Finance First Mutual Fund 2009 Units,Buy,Strong buy,Neutral,57.2399312546541,1.4000000000000021,1.2011764705882158,70.58001397623656,55.66448801742919,63.53238265002971,Shooting Star
AAMRANET,aamra networks ltd,Buy,Strong buy,Sell,54.56197020973937,-0.1999999999999993,0.3564705882352719,34.200046849381,51.372549019607895,53.46405228758176,
AAMRATECH,Aamra Technologies Limited,Buy,Strong buy,Sell,81.19263772597935,3.6000000000000014,4.023235294117622,120.79566003616634,83.75972611266731,86.10748802174528,
ABB1STMF,AB Bank 1st Mutual Fund 2011 Units,Buy,Strong buy,Neutral,58.25882040020382,0.0,0.3958823529411788,67.76556776556797,52.31481481481475,56.32716049382707,"Gravestone Doji, Long Upper Shadow"
ABBANK,AB Bank PLC,Sell,Strong sell,Neutral,47.44939259949275,-0.09999999999999964,-0.028823529411782012,-91.08527131782871,16.66666666666674,8.33333333333337,Doji
ACFL,Aman Cotton Fibrous PLC,Buy,Strong buy,Neutral,53.78933080643795,1.0999999999999979,-0.05941176470587095,-50.269299820467495,47.74990043807247,47.192353643966534,
ACI,Advanced Chemical Industries PLC,Buy,Strong buy,Neutral,53.17078306788029,3.0,0.6902941176469426,-39.71654581410881,26.70444324518793,27.758394446605823,
ACIFORMULA,ACI Formulations PLC,Strong buy,Strong buy,Neutral,61.15607408223935,5.800000000000011,8.864999999999952,38.41874953645205,35.754008022726644,27.409007171993363,
ACMELAB,ACME Laboratories Ltd.,Buy,Strong buy,Neutral,51.21538605775862,0.6000000000000085,-0.732058823529357,-57.15312724658549,23.597025016903302,18.198414161903035,
ACMEPL,ACME Pesticides Ltd,Strong buy,Strong buy,Buy,56.5794506781613,3.6999999999999993,1.853823529411759,83.64436788209429,66.0919540229885,73.7413457014183,Long Upper Shadow
ACTIVEFINE,Active Fine Chemicals Ltd.,Buy,Strong buy,Buy,50.692498730253526,0.20000000000000018,-0.02235294117649289,14.28571428570447,53.33333333333346,57.77777777777792,White Marubozu
ADNTEL,ADN Telecom Ltd.,Buy,Buy,Neutral,49.99892928932572,0.9000000000000057,-1.500000000000071,-65.97342576545374,23.240740740740893,20.462962962963072,White Marubozu
ADVENT,Advent Pharma Ltd.,Buy,Strong buy,Neutral,55.3337552170009,0.5000000000000018,0.42529411764705394,41.514041514041054,49.206349206349195,55.555555555555515,
AFCAGRO,AFC Agro Biotech Ltd.,Buy,Buy,Neutral,49.43495722021275,0.09999999999999964,-0.26352941176466427,52.631578947367224,61.904761904761926,60.31746031746036,
AFTABAUTO,Aftab Automobiles Ltd.,Sell,Sell,Neutral,49.25969814923717,0.1999999999999993,-0.43764705882356125,-39.8162327718226,34.122807017543806,30.313662945241834,
AGNISYSL,Agni Systems PLC,Buy,Buy,Buy,49.21852728072085,-0.5,0.22823529411765264,-115.19007994778786,23.809523809523814,19.230795421271605,
AGRANINS,Agrani Insurance PLC,Strong buy,Strong buy,Buy,64.1309425291092,3.5,2.4379411764706056,129.08039544861063,81.12918926435819,77.35564517375114,"Long Upper Shadow, Shooting Star"
AIBL1STIMF,AIBL 1st ISLAMIC Mutual Fund 2010- Units,Buy,Strong buy,Sell,61.0769618360791,-0.40000000000000036,0.9567647058823487,56.38474295190713,29.999999999999982,38.126361655773415,"Gravestone Doji, Long Upper Shadow"
AIL,Alif Industries Ltd.,Buy,Strong buy,Neutral,57.580207933291845,-1.0,0.901176470588311,-59.047619047651054,26.086956521739257,19.521299956082718,
AL-HAJTEX,Alhaj Textile Mills Limited,Sell,Strong sell,Sell,44.350426082953874,0.4000000000000057,-4.892647058823584,-65.33093888282522,18.111388174125267,14.485242771553674,
ALARABANK,Al-Arafah Islami Bank PLC,Neutral,Neutral,Neutral,47.69755215400707,-1.1999999999999993,-0.016764705882348352,-84.59035788228337,7.1150097465887185,8.606237816764155,
ALIF,Alif Manufacturing Company Ltd.,Buy,Strong buy,Sell,54.099929759905756,0.0,0.022647058823523025,32.95310519645527,46.66666666666668,44.44444444444449,Doji
ALLTEX,Alltex Industries Limited,Buy,Strong buy,Buy,78.03940589187182,4.0,3.6035294117647148,130.41394817354228,86.56914893617021,83.04275019700553,
AMANFEED,Aman Feed PLC,Buy,Strong buy,Neutral,60.22324221007699,0.5,2.256764705882347,68.235294117645,51.041666666666664,52.777777777777736,
AMBEEPHA,Ambee Pharmaceuticals PLC,Buy,Buy,Neutral,52.65935852583096,2.7000000000000455,17.112058823531584,-57.18013918630767,20.60369387955606,26.156942248896403,White Marubozu
AMCLPRAN,Agricultural Marketing Co. Ltd.,Buy,Strong buy,Neutral,54.54945168267259,3.6999999999999886,2.4861764705888447,-6.579853934143398,34.035041841004194,26.06408821243112,
ANLIMAYARN,Anlima Yarn Dyeing Ltd.,Strong buy,Strong buy,Buy,58.75925141781074,2.3999999999999986,1.3400000000000318,68.2047402924819,67.18020541549951,73.29032623150262,"Dragonfly Doji, Long Lower Shadow"
ANWARGALV,Anwar Galvanizing Ltd.,Strong buy,Strong buy,Neutral,55.15490323423836,2.5,-3.4888235294118033,4.702416362140841,42.42137087676543,26.071056529970818,
AOL,Associated Oxygen Ltd,Buy,Strong buy,Neutral,64.12694791509986,1.1999999999999993,0.6194117647058874,149.74519796158268,67.94871794871796,71.05413105413108,"Gravestone Doji, Long Upper Shadow"
APEXFOODS,Apex Foods Limited,Buy,Strong buy,Neutral,59.034099197304435,14.100000000000023,3.125588235293776,70.7210824754842,74.83420121277702,57.37260853950835,White Spinning Top
APEXFOOT,Apex Footwear Ltd.,Buy,Strong buy,Sell,55.47927627425592,2.200000000000017,3.3847058823531313,3.204376709643969,54.58612975391497,53.094705443698736,Long Upper Shadow
APEXSPINN,Apex Spinning and Knitting Mills Ltd.,Sell,Sell,Sell,42.83637962480447,-22.5,-25.384117647058417,-87.6482850104225,28.937451003578087,21.70146995355937,
APEXTANRY,Apex Tannery Limited.,Buy,Strong buy,Neutral,54.336365295647994,4.0,0.7599999999999767,9.906800948422987,57.97453001819289,46.62332286866643,White Spinning Top
APOLOISPAT,Appollo Ispat Complex Ltd.,Buy,Buy,Neutral,54.379057220835136,0.09999999999999964,0.13088235294116934,34.75513428120064,72.22222222222221,77.77777777777779,"Dragonfly Doji, Long Lower Shadow"
ARAMIT,Aramit Limited,Neutral,Neutral,Sell,50.30678222923316,-3.5,0.4735294117650142,-68.07393192606072,50.84892086330938,52.005276760186995,Shooting Star
ARAMITCEM,Aramit Cement Limited,Buy,Strong buy,Sell,62.88951353725838,0.9000000000000004,0.6338235294117798,249.4623655914017,79.8701298701299,77.27753727753726,
ARGONDENIM,Argon Denims Ltd.,Buy,Strong buy,Neutral,58.2175527113595,2.3999999999999986,2.0847058823529423,37.02452029589569,50.30303030303031,56.137849079025536,
ASIAINS,Asia Insurance PLC,Buy,Strong buy,Neutral,60.08748145193094,3.1999999999999957,1.2758823529411885,106.39080459770011,68.48484848484848,66.71717171717172,
ASIAPACINS,Asia Pacific General Insurance PLC,Buy,Strong buy,Neutral,71.61901158082557,9.899999999999999,6.034705882352959,122.85806660200468,82.83582089552236,82.9554293429607,
ASIATICLAB,Asiatic Laboratories Ltd,Neutral,Sell,Buy,34.714510810130264,-6.800000000000011,-12.376176470588206,-116.00799685837694,15.760165725169225,9.814925919549973,
ATLASBANG,Atlas Bangladesh Limited,Buy,Buy,Neutral,57.03735349772447,1.4000000000000057,6.000294117647002,-85.83653125138034,36.41439205955338,41.73214778053495,"Dragonfly Doji, Long Lower Shadow"
AZIZPIPES,Aziz Pipes Limited.,Buy,Strong buy,Neutral,64.31249361192482,9.699999999999989,4.543235294117665,137.70979392394423,90.67143087855293,88.12917204995688,
BANGAS,Bangas Limited,Buy,Strong buy,Sell,53.61751104959448,1.6999999999999886,-0.4005882352939807,-16.58966820663173,58.34766232702856,42.8249478781114,
BANKASIA,Bank Asia PLC,Sell,Strong sell,Sell,42.23558673399136,-0.1999999999999993,-0.32470588235294073,-80.13765978367644,14.814814814814786,11.265432098765372,"Dragonfly Doji, Long Lower Shadow"
BARKAPOWER,Baraka Power Ltd.,Strong buy,Strong buy,Buy,78.2845321528087,2.4000000000000004,1.2758823529411796,151.6889738687058,78.69028448738598,77.82889860184552,
BATASHOE,Bata Shoe Co. (Bangladesh) Ltd.,Buy,Strong buy,Neutral,64.19051403102107,15.399999999999977,18.50352941176493,83.12454763099598,68.6013820928834,63.262828176182815,"Hanging Man, Long Lower Shadow"
BATBC,British American Tobacco Bangladesh Co Ltd,Buy,Strong buy,Sell,63.213989999961065,11.199999999999989,13.675588235293418,58.139795803883,53.152744825459315,53.75511559077179,
BAYLEASING,Bay Leasing and Investment Ltd.,Buy,Strong buy,Neutral,54.30549433723723,-0.09999999999999964,0.46205882352941785,-5.988023952096398,56.19658119658121,69.51566951566952,
BBS,Bangladesh Building Systems PLC,Neutral,Buy,Neutral,51.01257785580247,0.5,0.129705882352944,13.044970820461725,42.85714285714283,49.20634920634918,"Gravestone Doji, Long Upper Shadow"
BBSCABLES,BBS Cables PLC,Sell,Sell,Neutral,46.40938525273681,0.3000000000000007,-0.21382352941175142,-32.15077605321419,34.920634920634946,40.74074074074077,
BDAUTOCA,Bangladesh Autocars Limited,Strong buy,Strong buy,Buy,55.75427768111737,13.300000000000011,2.8979411764705674,74.1616890413402,70.14652014652022,66.74806674806676,
BDCOM,BDCOM Online Ltd.,Neutral,Neutral,Neutral,47.66135706357376,0.3999999999999986,-0.4123529411764437,-69.51871657753881,37.52913752913753,39.58693636112991,Shooting Star
BDFINANCE,Bangladesh Finance PLC,Buy,Strong buy,Buy,55.23375395600142,0.09999999999999964,0.5717647058823463,41.74769869052186,52.38095238095238,57.67195767195768,
BDLAMPS,Bangladesh Lamps PLC,Strong buy,Strong buy,Buy,73.99668317151566,26.099999999999994,9.306764705882244,257.44655440105095,88.91539525940298,82.22474114693829,
BDTHAI,Bangladesh Thai Aluminium Ltd.,Neutral,Sell,Buy,47.29823628888845,-0.6999999999999993,-0.692941176470594,-104.41767068272958,17.54385964912282,25.730994152046815,
BDTHAIFOOD,BD Thai Food & Beverage Ltd.,Buy,Strong buy,Buy,52.71026385435332,1.1999999999999993,0.6582352941176559,56.81880146136763,68.32151300236406,74.05306015235091,
BDWELDING,Bangladesh Welding Electrodes Ltd.,Sell,Strong sell,Neutral,42.54366373941025,0.0,-0.28352941176469315,-95.23809523809237,20.83333333333339,31.172839506172874,
BEACHHATCH,Beach Hatchery Ltd,Sell,Strong sell,Neutral,41.88816790835235,-1.2999999999999972,-0.8061764705884045,-119.29046563193143,10.784313725490156,8.245349421819997,
BEACONPHAR,Beacon Pharmaceuticals PLC,Neutral,Sell,Neutral,46.80489607484667,0.0,-2.521764705882404,-60.417745554983775,13.071895424836582,11.014628073451604,
BENGALWTL,Bengal Windsor Thermoplastics PLC,Buy,Strong buy,Neutral,50.122947176777046,0.8000000000000007,-0.09323529411762621,12.466124661246836,48.48484848484849,52.02020202020199,Doji
