Symbol,Name,Tech Rating,MA Rating,Os Rating,RSI (14),Mom (10),AO,CCI (20),"Stoch (14,3,3) %K","Stoch (14,3,3) %D",Patterns
1JANATAMF,First Janata Bank Mutual Fund Units,Neutral,Neutral,Neutral,45.36583721918037,-0.3999999999999999,0.03676470588235503,-149.197355996222,4.761904761904769,4.761904761904747,Black Marubozu
1STPRIMFMF,Prime Finance First Mutual Fund 2009 Units,Sell,Sell,Neutral,43.827049764228796,-2.8000000000000007,-0.147647058823555,-114.68812877264021,6.780167264038229,21.631292899477597,Inverted Hammer
AAMRANET,aamra networks ltd,Buy,Buy,Neutral,50.44023852929841,-0.1999999999999993,-0.3400000000000212,-39.47368421052603,25.37037037037037,27.9012345679012,Shooting Star
AAMRATECH,Aamra Technologies Limited,Buy,Buy,Neutral,52.411500122511,-1.3999999999999986,1.915588235294095,-31.84519935788962,25.304347826086964,38.990338164251206,Hanging Man
ABB1STMF,AB Bank 1st Mutual Fund 2011 Units,Neutral,Neutral,Neutral,44.786639269249214,-0.39999999999999947,-0.02764705882352958,-131.62393162393178,8.33333333333332,6.018518518518474,
ABBANK,AB Bank PLC,Sell,Strong sell,Neutral,49.43509767643601,0.0,-0.07852941176472328,-85.8085808580856,11.111111111111171,6.481481481481512,White Marubozu
ACFL,Aman Cotton Fibrous PLC,Sell,Sell,Neutral,35.63505272374205,-1.7999999999999972,-0.9308823529411683,-147.38897022938045,15.966386554621854,17.81346947381103,
ACI,Advanced Chemical Industries PLC,Sell,Strong sell,Buy,41.63892769861417,-5.699999999999989,-4.637058823529486,-131.8477251624916,9.081677063687762,6.168915324725571,
ACIFORMULA,ACI Formulations PLC,Neutral,Neutral,Buy,48.56535404099264,-2.0,1.6567647058822672,-99.00267574799508,11.787463472856748,18.07013211507595,
ACMELAB,ACME Laboratories Ltd.,Sell,Sell,Neutral,38.07684576668052,-1.7999999999999972,-2.088235294117581,-174.53145917001177,17.33333333333329,14.529100529100424,
ACMEPL,ACME Pesticides Ltd,Buy,Strong buy,Neutral,52.19879360966315,-1.5,0.7779411764705841,28.56056903947496,32.10903210903212,38.45297345297346,
ACTIVEFINE,Active Fine Chemicals Ltd.,Sell,Strong sell,Neutral,43.641895797411955,-0.20000000000000018,-0.0605882352941407,-79.3368857312121,13.33333333333342,18.888888888888975,
ADNTEL,ADN Telecom Ltd.,Sell,Strong sell,Buy,40.05751643434042,-2.200000000000003,-3.299999999999997,-150.04105090312004,19.229390681003622,17.78867102396517,Bullish Engulfing
ADVENT,Advent Pharma Ltd.,Sell,Sell,Neutral,37.55796286480345,-1.1999999999999993,-0.33852941176471063,-115.70247933884387,5.185185185185172,7.749684669189295,
AFCAGRO,AFC Agro Biotech Ltd.,Sell,Strong sell,Neutral,46.09257368662088,-0.20000000000000018,-0.19411764705878198,-63.80208333333675,23.333333333333247,30.89947089947087,
AFTABAUTO,Aftab Automobiles Ltd.,Sell,Strong sell,Buy,29.897665137645205,-1.8999999999999986,-1.576470588235324,-193.5969868173251,8.270202020201985,6.377500495147554,"Dragonfly Doji, Long Lower Shadow"
AGNISYSL,Agni Systems PLC,Neutral,Sell,Buy,41.06354611125017,-2.200000000000003,-1.1688235294117533,-155.48824462714404,10.643038646793315,15.396455164915684,
AGRANINS,Agrani Insurance PLC,Buy,Buy,Neutral,50.68065515674922,-0.8999999999999986,1.081764705882346,-8.658008658009306,20.27568922305768,34.81131907783648,Black Marubozu
