Symbol,Name,Tech Rating,MA Rating,Os Rating,RSI (14),Mom (10),AO,CCI (20),"Stoch (14,3,3) %K","Stoch (14,3,3) %D",Patterns
1JANATAMF,First Janata Bank Mutual Fund Units,Sell,Sell,Neutral,49.261266904602635,-0.10000000000000009,-0.060294117647060386,-53.16973415132957,8.333333333333355,5.555555555555581,"Dragonfly Doji, Long Lower Shadow"
1STPRIMFMF,Prime Finance First Mutual Fund 2009 Units,Buy,Buy,Buy,56.27901048717078,0.3000000000000007,0.6099999999999888,56.03353187734052,23.541411668706633,24.23253341245997,
AAMRANET,aamra networks ltd,Sell,Strong sell,Buy,47.01018847210673,0.6999999999999993,0.13352941176468391,-129.97903563941344,62.25749559082891,70.487948265726,
AAMRATECH,Aamra Technologies Limited,Buy,Buy,Neutral,61.15681982310032,1.3000000000000007,0.8685294117646887,107.94121279486231,80.0,83.58024691358023,"Dragonfly Doji, Long Lower Shadow"
ABB1STMF,AB Bank 1st Mutual Fund 2011 Units,Sell,Sell,Neutral,50.59693429955786,0.10000000000000009,-0.044705882352942705,-39.21568627451183,50.00000000000006,40.00000000000004,"Dragonfly Doji, Long Lower Shadow"
ABBANK,AB Bank PLC,Neutral,Neutral,Neutral,52.182884496846526,0.20000000000000018,-0.0514705882353077,81.51870463428187,65.87301587301592,52.3809523809524,
ACFL,Aman Cotton Fibrous PLC,Sell,Strong sell,Neutral,39.038856683724376,-0.10000000000000142,-0.4308823529411896,-109.57501280081497,24.537037037036942,31.790123456790113,
ACI,Advanced Chemical Industries PLC,Buy,Strong buy,Neutral,64.44778056311216,0.0,8.633823529411757,56.481676865724864,47.07106369420203,49.75064088882618,Black Marubozu
ACIFORMULA,ACI Formulations PLC,Strong sell,Strong sell,Sell,46.351969550800675,-0.09999999999999432,0.6044117647059011,-52.977325704597945,42.10982000455679,44.796840586314225,
ACMELAB,ACME Laboratories Ltd.,Neutral,Sell,Neutral,50.204548988530895,2.4000000000000057,-0.2223529411764389,72.43735763097833,68.8494492044063,67.39426084591317,
ACMEPL,ACME Pesticides Ltd,Sell,Strong sell,Sell,45.48279109359126,-0.10000000000000142,-0.20500000000000185,-73.43329488658111,24.475524475524455,27.175602175602176,"Gravestone Doji, Long Upper Shadow"
ACTIVEFINE,Active Fine Chemicals Ltd.,Sell,Sell,Neutral,49.45574914763494,0.09999999999999964,-0.3600000000000172,15.797788309633159,58.88888888888885,41.3468013468013,
ADNTEL,ADN Telecom Ltd.,Sell,Strong sell,Neutral,45.69748415545842,2.1000000000000014,-0.44588235294119016,-20.971302428256763,48.57142857142855,51.24157425527286,
ADVENT,Advent Pharma Ltd.,Sell,Strong sell,Neutral,48.04104115445076,0.3000000000000007,-0.08764705882350299,-39.65863453815185,50.39682539682547,45.01763668430343,
AFCAGRO,AFC Agro Biotech Ltd.,Sell,Sell,Neutral,49.33302670547115,0.20000000000000018,-0.046176470588184415,12.158054711245388,57.94871794871796,51.1680911680912,Black Marubozu
AFTABAUTO,Aftab Automobiles Ltd.,Sell,Strong sell,Neutral,44.151986986632174,0.29999999999999716,-1.1026470588235426,-68.01007556675151,39.13690476190481,39.89087301587305,
AGNISYSL,Agni Systems PLC,Sell,Strong sell,Neutral,48.095229979365975,0.5999999999999979,-0.24294117647055558,-6.1357876483900435,58.22222222222217,51.99999999999997,
AGRANINS,Agrani Insurance PLC,Buy,Buy,Buy,62.679160399207596,1.8000000000000007,0.9573529411764845,124.52700378396074,65.43209876543203,54.48201825013416,
AIBL1STIMF,AIBL 1st ISLAMIC Mutual Fund 2010- Units,Sell,Strong sell,Neutral,46.72470414927739,0.0,0.016764705882369668,5.952380952379523,33.333333333333364,33.333333333333364,"Gravestone Doji, Long Upper Shadow"
AIL,Alif Industries Ltd.,Strong sell,Strong sell,Sell,15.813603126183722,-9.5,-5.645000000000046,-298.09196121365386,5.361305361305355,6.608904722112261,
AL-HAJTEX,Alhaj Textile Mills Limited,Sell,Strong sell,Neutral,45.90225185326357,-8.199999999999989,1.6423529411764548,-119.08545936149501,23.8196334339892,21.070795456457702,White Marubozu
ALARABANK,Al-Arafah Islami Bank PLC,Sell,Strong sell,Sell,45.50450248223738,-0.40000000000000036,-0.7976470588235376,-42.519992198165234,48.50613154960979,44.80932915715524,
ALIF,Alif Manufacturing Company Ltd.,Sell,Strong sell,Neutral,47.26777167704147,0.0,-0.04500000000000082,-92.14092140921588,16.666666666666615,18.5185185185185,
ALLTEX,Alltex Industries Limited,Buy,Strong buy,Neutral,56.44461308337083,0.6000000000000014,0.23705882352940044,63.09611151871385,61.904761904761926,59.018759018759006,White Spinning Top
AMANFEED,Aman Feed PLC,Strong sell,Strong sell,Neutral,46.81053818070342,0.5,-0.39529411764704747,-17.51674394641956,63.5185185185185,60.93129361245301,
AMBEEPHA,Ambee Pharmaceuticals PLC,Sell,Strong sell,Neutral,36.894410593779845,-3.1000000000000227,-31.879117647057,-87.31990611099347,43.33496645310047,41.78751098058162,
AMCLPRAN,Agricultural Marketing Co. Ltd.,Neutral,Neutral,Neutral,50.93808087245354,3.1999999999999886,-0.015588235293421349,40.27491408928455,49.14529914529919,42.68248831355633,
