Symbol,Name,Price,Change %,Perf % 1W,Perf % 1M,Perf % 3M,Perf % 6M,Perf % YTD,Perf % 1Y,Perf % 5Y,Perf % 10Y,Perf % All Time,Volatility 1W,Volatility 1M
1JANATAMF,First Janata Bank Mutual Fund Units,3.4,-2.85714285714286,0.0,-15.000000000000002,9.677419354838703,17.24137931034483,30.769230769230763,6.249999999999991,-64.58333333333333,-9.900000342379995,-37.46298601980823,5.2605042016806784,5.606186058198447
1STPRIMFMF,Prime Finance First Mutual Fund 2009 Units,22.9,-5.761316872427992,4.566210045662101,-7.661290322580654,14.499999999999995,25.82417582417582,14.499999999999995,-2.9661016949152663,10.628019323671495,182.71604938271605,-25.163398692810464,5.403186914548208,5.066185119620632
AAMRANET,aamra networks ltd,17.4,0.5780346820809125,-4.918032786885258,-16.346153846153857,-7.446808510638309,-2.7932960893854752,-2.2471910112359668,-21.621621621621625,-60.46992452260065,-71.11818639337798,-71.11818639337798,4.720300870713155,5.616421824870916
AAMRATECH,Aamra Technologies Limited,16.1,3.870967741935493,-3.012048192771084,-25.806451612903217,10.273972602739738,4.545454545454553,30.894308943089435,9.52380952380954,-45.9936710949232,-24.070762821350495,-45.246583451678276,6.449818313472111,7.259848427834314
ABB1STMF,AB Bank 1st Mutual Fund 2011 Units,3.5,-2.77777777777778,0.0,-12.5,9.374999999999995,20.689655172413797,29.629629629629623,2.941176470588238,-50.70422535211267,-13.375000420131252,-47.791643346063886,3.9523809523809543,5.19456436380713
ABBANK,AB Bank PLC,4.4,0.0,-4.347826086956506,-11.999999999999993,-16.981132075471688,-33.33333333333333,7.317073170731725,-22.807017543859644,-70.12798390338266,-68.99206103104325,-80.88092226544605,3.2029598308668,3.5433716109604854
ACFL,Aman Cotton Fibrous PLC,21.7,-1.3636363636363669,7.960199004975112,-10.330578512396695,-9.20502092050209,17.934782608695656,20.555555555555554,8.499999999999996,-51.45413870246086,-63.83333333333333,-63.83333333333333,5.941525954103863,5.4577869492931175
ACI,Advanced Chemical Industries PLC,178.0,-1.4941892639734304,-5.670376258611547,-11.837543338286283,-6.806282722513089,-14.832535885167465,-8.717948717948717,-3.6275040606388678,-31.766666701351948,-28.01164553539498,185.82529383537107,2.6883405172178683,2.089755000444587
ACIFORMULA,ACI Formulations PLC,149.7,-1.0575016523463467,0.9440323668239899,-14.408233276157814,3.3126293995859095,7.697841726618697,16.04651162790697,2.4640657084188873,-14.804877838216946,-6.270124986354622,117.10635413392609,4.246677092247189,3.837164226175236
ACMELAB,ACME Laboratories Ltd.,76.0,-0.39318479685451796,-3.1847133757961785,-9.199522102747911,-5.590062111801243,-2.937420178799486,6.591865357643763,-6.056860321384431,-21.730175077239956,-29.62962962962963,-43.7037037037037,1.3286339889231842,1.6428145621626489
ACMEPL,ACME Pesticides Ltd,24.5,1.6597510373443924,0.823045267489709,-1.2096774193548416,2.9411764705882324,44.11764705882353,54.088050314465406,41.618497109826585,122.72727272727273,122.72727272727273,122.72727272727273,3.939264723159148,4.946515974770588
ACTIVEFINE,Active Fine Chemicals Ltd.,5.6,-1.75438596491229,-3.448275862068969,-18.840579710144933,-22.22222222222223,-21.126760563380284,3.7037037037036904,-37.07865168539326,-76.76348547717842,-77.24999993032812,-81.00869551873936,3.170858179932592,4.340107643512129
ADNTEL,ADN Telecom Ltd.,55.5,-1.0695187165775426,-7.5,-17.41071428571429,-18.14159292035398,-6.091370558375636,-4.145077720207252,-31.48148148148148,-25.20215633423181,37.03703703703704,37.03703703703704,3.9580651715641504,3.2087184991798776
ADVENT,Advent Pharma Ltd.,13.1,-1.5037593984962485,-8.391608391608399,-20.60606060606061,-14.935064935064938,-2.9629629629629655,-2.238805970149259,-18.633540372670815,-49.00000015922901,-64.43035622508954,-64.43035622508954,5.5013910407686835,4.3245831580325005
AFCAGRO,AFC Agro Biotech Ltd.,5.9,-3.2786885245901525,-11.940298507462684,-16.901408450704217,-26.249999999999996,-15.71428571428571,18.000000000000007,-29.76190476190476,-82.2822822822823,-81.46993096127493,-74.25092497354798,4.849698938750326,3.9445645704762757
