Symbol,Name,Price,Change %,Perf % 1W,Perf % 1M,Perf % 3M,Perf % 6M,Perf % YTD,Perf % 1Y,Perf % 5Y,Perf % 10Y,Perf % All Time,Volatility 1W,Volatility 1M
1JANATAMF,First Janata Bank Mutual Fund Units,2.6,0.0,-10.344827586206891,-3.703703703703707,-16.129032258064516,-23.52941176470588,-21.212121212121204,-21.212121212121204,-57.377049180327866,-29.497674756032062,-52.17757754455923,4.769230769230772,5.878248522108169
1STPRIMFMF,Prime Finance First Mutual Fund 2009 Units,19.7,0.5102040816326422,-0.5050505050505122,2.604166666666667,-10.85972850678734,5.347593582887701,-36.45161290322581,-36.24595469255664,-1.9900497512437916,87.6190476190476,-35.62091503267975,2.882291447506835,3.9553009500392213
AAMRANET,aamra networks ltd,17.9,1.7045454545454382,2.2857142857142776,0.5617977528089768,-15.962441314554,4.069767441860461,-33.457249070631974,-33.94833948339484,-50.581972982620755,-70.2882492207739,-70.2882492207739,2.6473988439306333,3.7600047998828567
AAMRATECH,Aamra Technologies Limited,11.6,4.504504504504505,5.4545454545454515,-0.8547008547008517,-15.942028985507253,-1.6949152542372972,-32.16374269005849,-32.94797687861272,-52.88888906217114,-48.56254985940681,-60.5503334186005,3.9718035532255693,4.635658029931446
ABB1STMF,AB Bank 1st Mutual Fund 2011 Units,2.6,0.0,-3.703703703703707,-10.344827586206891,-16.129032258064516,-35.0,-21.212121212121204,-21.212121212121204,-58.730158730158735,-28.1518265535573,-61.21664934279031,4.615384615384614,5.563825082371444
ABBANK,AB Bank PLC,4.1,-2.380952380952394,-4.651162790697679,-12.765957446808523,-21.153846153846164,-35.93750000000001,-48.10126582278482,-48.10126582278482,-60.78703830432947,-76.47222293309265,-82.18449574734744,4.0548780487804965,4.844315901166798
ACFL,Aman Cotton Fibrous PLC,18.0,0.0,0.0,-11.764705882352935,-5.759162303664929,16.88311688311688,0.0,1.6949152542372923,-52.254641909814325,-70.0,-70.0,1.6579736341787628,2.2172283959970365
ACI,Advanced Chemical Industries PLC,194.6,0.20597322348095043,-1.71717171717172,7.573244886677716,5.189189189189186,3.7866666666666635,36.08391608391608,39.69849246231154,-5.402777826390235,-34.69125102729454,212.480911125636,1.2343569434269286,2.078527862332183
ACIFORMULA,ACI Formulations PLC,127.9,0.07824726134585956,-1.539645881447267,-3.617181612660123,-9.738884968242754,-1.539645881447267,7.47899159663866,7.750631844987365,13.520710337935473,-30.98920846056654,85.49033195543855,1.8458193658385305,2.7421560663347555
ACMELAB,ACME Laboratories Ltd.,70.9,0.7102272727272727,0.5673758865248307,-4.832214765100663,-9.566326530612244,-2.20689655172413,-6.2169312169312025,-6.955380577427818,-5.466666666666659,-47.481481481481474,-47.481481481481474,1.808667604691316,1.786511666876014
ACMEPL,ACME Pesticides Ltd,15.9,-0.6249999999999978,-3.0487804878048674,-9.14285714285714,-4.79041916167664,28.225806451612904,23.25581395348837,22.307692307692314,44.545454545454554,44.545454545454554,44.545454545454554,2.8919559955550236,4.914590817129756
ACTIVEFINE,Active Fine Chemicals Ltd.,5.5,-1.7857142857142794,-6.7796610169491585,-19.117647058823525,-36.04651162790697,-34.52380952380953,-30.37974683544304,-29.487179487179485,-68.57142857142857,-80.84821422706194,-81.34782595590472,5.155441285205345,4.999382000054384
ADNTEL,ADN Telecom Ltd.,57.8,-0.34482758620690146,3.214285714285709,-6.924315619967801,-22.830440587449942,-19.498607242339833,-32.47663551401869,-28.817733990147786,-11.485451761102604,42.716049382716044,42.716049382716044,4.079051354632302,3.408316660382567
ADVENT,Advent Pharma Ltd.,13.3,0.7575757575757683,-2.2058823529411686,-4.999999999999995,-15.822784810126581,-4.316546762589925,-20.833333333333332,-21.301775147928982,-40.500000195723686,-63.88730822852602,-63.88730822852602,2.301820317087497,3.019046313069547
AFCAGRO,AFC Agro Biotech Ltd.,5.0,0.0,-9.090909090909092,-9.090909090909092,-35.8974358974359,-37.5,-46.23655913978495,-45.65217391304348,-70.58823529411765,-86.05206732692989,-78.17874997758302,5.301043494320808,6.190982211262935
AFTABAUTO,Aftab Automobiles Ltd.,33.7,-0.5899705014749137,0.5970149253731428,-10.610079575596815,-12.919896640826872,6.984126984126993,-7.417582417582405,-8.423913043478246,39.6776322562001,-42.03705119378178,-50.46099959630668,3.76032888630035,3.444452675146628
AGNISYSL,Agni Systems PLC,20.7,0.4854368932038731,0.9756097560975575,-7.174887892376688,-21.886792452830193,-24.72727272727273,-13.750000000000002,-15.163934426229506,7.8125,12.501585355221017,11.691192478786311,2.5481088276492994,2.9581582213621944
AGRANINS,Agrani Insurance PLC,21.9,1.3888888888888755,-1.7937219730941798,0.921658986175112,-19.485294117647065,-8.750000000000005,-2.3538102710973687,-3.502588956580103,-17.830584801664024,109.94645146072745,32.740337433526385,2.2163811007268945,3.681229588905041
AIBL1STIMF,AIBL 1st ISLAMIC Mutual Fund 2010- Units,3.4,0.0,-5.555555555555561,-5.555555555555561,-20.930232558139533,-45.16129032258064,-50.0,-51.42857142857143,-59.52380952380952,-53.42465753424658,-55.84415584415585,4.9777183600713055,4.5013969049995
AIL,Alif Industries Ltd.,40.7,-0.7317073170731638,-4.009433962264141,-13.034188034188023,-29.09407665505226,-17.77777777777777,-55.71273122959739,-55.51912568306011,63.39416044678593,-63.150846258543105,-63.150846258543105,2.179300175354696,2.9507010365048894
AL-HAJTEX,Alhaj Textile Mills Limited,138.7,-3.074772886093645,-4.476584022038568,1.9852941176470504,-15.939393939393945,8.52895148669796,18.44577284372331,17.84197111299914,312.79761904761904,64.68305036070974,499.028522664503,5.102599215629814,3.680394526646673
ALARABANK,Al-Arafah Islami Bank PLC,15.0,0.671140939597313,-0.6622516556291367,-12.790697674418603,-11.764705882352942,-11.764705882352942,-23.076923076923077,-23.076923076923077,-26.261363710688826,26.68758601342801,-16.170773152091538,5.886825411418588,3.934257061303503
ALIF,Alif Manufacturing Company Ltd.,4.0,-2.439024390243894,-13.04347826086956,-6.976744186046508,-28.57142857142857,-32.20338983050848,-41.1764705882353,-40.298507462686565,-43.66197183098591,-41.88842269747672,-76.31321580484759,3.597560975609764,5.4310832513656715
ALLTEX,Alltex Industries Limited,13.2,0.0,-0.7518796992481309,0.0,-3.6496350364963503,28.15533980582523,41.93548387096773,38.94736842105262,33.33333333333332,-24.137931034482758,72.74074015214265,2.360606618325658,3.290249622306196
AMANFEED,Aman Feed PLC,22.8,0.0,-0.8695652173913012,-13.636363636363628,-15.555555555555554,-7.692307692307687,-9.881422924901186,-10.236220472440937,-23.999999999999996,-27.66169818993667,-32.00990183814173,1.8516821956259024,3.207557529039515
AMBEEPHA,Ambee Pharmaceuticals PLC,708.0,1.0273972602739792,-1.5299026425591098,-10.775047258979207,-14.441087613293051,-13.86861313868613,0.8403361344537782,-1.1449315833566105,57.333333333333336,157.0806100217865,278.7784232696632,1.1035794995964496,2.0640811368138587
AMCLPRAN,Agricultural Marketing Co. Ltd.,202.5,0.14836795252226082,-1.2676743052169646,-4.884922498825742,-14.556962025316455,-2.315484804630975,-2.079303675048361,-1.2676743052169646,3.792926704254232,-3.617325083293667,64.63414634146342,1.8678521396115695,1.7577775870994772
ANLIMAYARN,Anlima Yarn Dyeing Ltd.,19.5,2.0942408376963275,-6.250000000000003,-1.0152284263959355,-14.096916299559469,-10.958904109589035,-8.0188679245283,-8.0188679245283,-40.18404907975461,-11.363636363636363,-2.5,4.955063415180436,6.59480468251137
ANWARGALV,Anwar Galvanizing Ltd.,85.0,0.9501187648456023,-4.386951631046125,-12.099276111685628,16.12021857923497,33.43799058084772,20.56737588652482,19.718309859154928,14.606740656179788,113.68198166791407,951.8749935967111,3.1311642351203197,5.331725615808157
AOL,Associated Oxygen Ltd,14.7,1.3793103448275814,2.7972027972027873,0.0,-8.695652173913057,1.3793103448275814,-13.017751479289938,-13.017751479289938,-71.08639708422922,13.248799385919702,13.248799385919702,4.013643076625179,3.3984921456690507
APEXFOODS,Apex Foods Limited,244.3,1.919065498539851,8.385093167701864,12.11564938044975,-5.126213592233006,23.383838383838388,9.945994599459956,9.551569506726462,94.81658692185007,101.900826446281,241.20111731843576,3.7945436883492674,3.84425198531354
APEXFOOT,Apex Footwear Ltd.,177.5,-0.6715165081141515,-1.2791991101223643,-7.262277951933126,-7.165271966527191,8.284529038555402,9.839108910891092,8.868989205103048,37.87523615103445,-13.069412364755106,33.19648028074237,2.2592061640303536,2.193017821967765
APEXSPINN,Apex Spinning and Knitting Mills Ltd.,177.5,3.1976744186046515,7.90273556231003,8.62913096695226,4.967474866942641,95.05494505494505,85.47544409613374,86.25393494228751,35.807192042846225,50.42372881355932,153.57142857142858,5.475770522710949,3.4493033016871797
APEXTANRY,Apex Tannery Limited.,58.6,1.9130434782608718,-0.6779661016949129,2.2687609075043706,-24.775353016688065,-5.024311183144248,-15.440115440115434,-14.949201741654576,-45.182413470533206,-55.026861089792796,-19.835841313269487,2.553462350913884,3.378228592855707
APOLOISPAT,Appollo Ispat Complex Ltd.,1.7,-5.55555555555556,-22.727272727272734,-29.166666666666668,-34.61538461538462,-50.0,-52.77777777777778,-52.77777777777778,-73.01587301587301,-87.96187506856465,-93.02072001621252,11.99346405228758,8.263042537589198
ARAMIT,Aramit Limited,187.6,-2.596053997923157,-0.7407407407407437,-3.745510518214475,-16.17515638963361,11.071640023682646,15.802469135802466,15.802469135802466,-30.000000000000004,-64.37523737181921,-11.509433962264152,4.820861688840856,3.5435162645552474
ARAMITCEM,Aramit Cement Limited,9.0,1.1235955056179736,-5.2631578947368425,-8.163265306122456,-24.36974789915967,-27.41935483870968,-21.05263157894737,-23.728813559322038,-50.81967213114755,-77.61194029850746,-75.09694944354507,4.555324163760814,4.432010935588738
ARGONDENIM,Argon Denims Ltd.,17.6,0.5714285714285796,-0.5649717514124174,-4.864864864864857,-16.190476190476186,10.000000000000009,4.142011834319544,4.761904761904766,-5.723858059192695,10.378820525965697,-54.354112194383525,2.475319815175475,3.0682691413681935
ASIAINS,Asia Insurance PLC,27.2,0.740740740740738,-2.1582733812949693,-2.5089605734767,-2.1582733812949693,0.7407407407407381,-10.819672131147543,-12.258064516129034,-75.02295684113865,92.90780141843972,-17.69452430236611,2.601366354753387,3.4419264590697947
ASIAPACINS,Asia Pacific General Insurance PLC,30.5,0.3289473684210573,-3.1746031746031744,-0.6514657980456003,-12.607449856733522,1.6666666666666667,-4.6875,-4.6875,-59.602649006622514,96.7741935483871,-10.029498525073743,2.7136839250324485,3.583165511989363
ASIATICLAB,Asiatic Laboratories Ltd,47.5,-0.6276150627615004,-2.0618556701030926,-9.351145038167937,-22.51223491027732,21.794871794871796,32.31197771587745,31.578947368421044,-17.102966841186735,-17.102966841186735,-17.102966841186735,3.589777055880816,4.937692015643771
ATLASBANG,Atlas Bangladesh Limited,53.7,0.9398496240601504,-2.0072992700729824,0.9398496240601504,-11.82266009852216,-2.5408348457350245,1.3207547169811373,-0.37105751391464886,-50.914076782449726,-57.198337494700525,-52.25926529113431,4.549937809292127,5.512701765001426
AZIZPIPES,Aziz Pipes Limited.,43.9,-0.6787330316742178,0.6880733944954063,-2.6607538802660815,-13.069306930693072,-7.1881606765327675,-16.380952380952383,-15.738963531669869,-56.056056056056065,41.165938576434385,182.33187706208145,3.6301167268003516,4.532673093539698
BANGAS,Bangas Limited,128.9,-0.23219814241484749,-0.8461538461538418,21.26058325493886,9.422750424448225,28.900000000000006,40.26115342763873,41.64835164835166,3.1200000000000045,-33.284719279843486,-8.066891691571223,4.175961975461842,4.443820786314251
BANKASIA,Bank Asia PLC,18.2,0.0,0.552486187845292,-3.191489361702135,0.552486187845292,15.923566878980893,17.076023282268046,17.764705764588236,11.222222111000002,69.57794605939463,44.301233258121364,0.9386193916580593,1.172668055759995
BARKAPOWER,Baraka Power Ltd.,6.7,-2.898550724637684,-2.8985507246376834,-12.987012987012987,-22.093023255813947,-36.79245283018867,-33.0,-33.66336633663366,-74.62121212121212,-72.31144975776617,-70.47251220870504,3.1815188762071984,4.648164586591339
BATASHOE,Bata Shoe Co. (Bangladesh) Ltd.,804.1,-0.433382862803368,-1.155500921942222,-1.4583333333333306,-9.100158263621976,-0.1738050900062045,-11.188425005522417,-11.247240618101543,14.871428571428574,-38.430321592649314,56.135922330097095,0.9018981575729266,1.0069143090050021
BATBC,British American Tobacco Bangladesh Co Ltd,248.6,-0.1205303334672605,-0.9561752988047831,-2.1259842519685064,-10.446685878962546,-11.687388987566608,-32.37214363438521,-31.703296703296704,-36.03773520943396,-20.121383622562472,166.99284543213622,1.4378855059139033,1.3290130700055722
BAYLEASING,Bay Leasing and Investment Ltd.,3.2,3.2258064516129057,3.225806451612906,-3.0303030303030196,-19.999999999999996,-30.43478260869564,-54.285714285714285,-54.285714285714285,-85.39130431130435,-82.5304347627608,-87.8046041310799,5.645161290322584,5.491509488866622
BBS,Bangladesh Building Systems PLC,9.1,0.0,0.0,3.4090909090908967,-20.869565217391308,-12.500000000000005,-13.333333333333336,-14.150943396226415,-47.093023255813954,-63.473954358385164,-58.031573389700135,3.2471910112359486,4.662169994537618
BBSCABLES,BBS Cables PLC,15.2,-1.2987012987013056,-0.6535947712418393,4.109589041095888,-19.576719576719576,0.0,-13.142857142857146,-14.124293785310735,-69.91382390850515,-47.4184892836598,-47.4184892836598,2.827057946450337,4.49881980409684
BDAUTOCA,Bangladesh Autocars Limited,125.7,1.2077294685990339,-2.558139534883719,4.750000000000002,0.31923383878691597,32.87526427061312,46.162790697674424,45.993031358885034,-14.721845318860247,370.57919499409763,482.2420550448721,2.995710043034333,4.666903305110398
BDCOM,BDCOM Online Ltd.,25.6,-0.3891050583657505,0.7874015748031609,-5.882352941176462,-5.352112439436612,12.468619503328032,16.363636628099183,15.862069255172411,16.628099751031503,61.119561426511815,112.88350463374589,1.93026328740157,3.522752722434663
BDFINANCE,Bangladesh Finance PLC,13.4,1.5151515151515234,3.0769230769230798,-9.459459459459461,-2.1897810218978027,59.52380952380952,11.66666666666667,12.605042016806722,-46.034982499609974,86.81220954970911,-17.523044996787384,3.8515214007340024,4.541271769695086
BDLAMPS,Bangladesh Lamps PLC,134.5,-0.22255192878339122,1.1278195488721805,0.4480955937266574,-13.1697869593286,10.245901639344263,30.58252427184466,30.58252427184466,-19.824512598959327,-46.300373177288066,19.929166570723332,3.09559512861406,4.534672914217677
BDTHAI,Bangladesh Thai Aluminium Ltd.,11.1,0.909090909090906,-1.7699115044247882,6.730769230769224,-12.598425196850393,-17.77777777777778,-9.756097560975618,-5.128205128205125,-64.53674121405751,-36.66149787589426,-30.327647762874278,3.3602693602693554,5.756304897947406
BDTHAIFOOD,BD Thai Food & Beverage Ltd.,14.3,2.142857142857148,0.0,34.9056603773585,-5.298013245033105,2.8776978417266212,10.000000000000004,-37.280701754385966,18.18181818181819,18.18181818181819,18.18181818181819,5.425328025947218,8.140258769823147
