Symbol,Name,Price,Change %,Perf % 1W,Perf % 1M,Perf % 3M,Perf % 6M,Perf % YTD,Perf % 1Y,Perf % 5Y,Perf % 10Y,Perf % All Time,Volatility 1W,Volatility 1M
1JANATAMF,First Janata Bank Mutual Fund Units,2.4,4.347826086956526,-7.692307692307699,-20.000000000000004,-27.27272727272727,-33.333333333333336,-27.27272727272727,-31.428571428571434,-64.17910447761194,-34.920930544029595,-55.856225425746985,10.669264069264067,6.355171290283362
1STPRIMFMF,Prime Finance First Mutual Fund 2009 Units,17.8,1.1363636363636322,-3.7837837837837798,-12.31527093596059,-13.17073170731707,-11.881188118811874,-42.58064516129032,-58.986175115207374,-20.535714285714278,76.23762376237624,-41.830065359477125,6.161052629634619,4.569235865256136
AAMRANET,aamra networks ltd,16.7,4.374999999999996,-2.33918128654972,-13.917525773195875,-9.729729729729733,3.0864197530864197,-37.9182156133829,-43.00341296928328,-44.91340294912701,-72.2800984350237,-72.2800984350237,8.051055154053403,6.180960200588155
AAMRATECH,Aamra Technologies Limited,10.0,1.0101010101010066,-4.761904761904762,-22.480620155038764,-21.259842519685037,-15.254237288135597,-41.52046783625731,-41.1764705882353,-61.17216132121455,-57.192307745027016,-65.99166674017285,5.877111674015695,6.516884634171891
ABB1STMF,AB Bank 1st Mutual Fund 2011 Units,2.7,3.8461538461538494,3.8461538461538494,-9.999999999999995,-20.588235294117638,-38.63636363636364,-18.181818181818173,-22.857142857142854,-60.869565217391305,-25.388435267155653,-59.724982009820714,9.402300597952776,6.635625119230123
ABBANK,AB Bank PLC,4.1,5.1282051282051215,0.0,-25.45454545454546,-34.920634920634924,-39.705882352941174,-48.10126582278482,-48.75000000000001,-53.4103425296503,-75.41874037870014,-82.18449574734744,9.337200160729575,5.874112361875878
ACFL,Aman Cotton Fibrous PLC,18.2,0.552486187845292,0.0,-2.1505376344086136,-3.191489361702135,18.954248366013065,1.1111111111111072,-2.1505376344086136,-37.0242214532872,-69.66666666666667,-69.66666666666667,2.2185935131705063,3.315489624243388
ACI,Advanced Chemical Industries PLC,180.0,0.22271714922049313,2.5641025641025643,8.761329305135952,-8.16326530612245,13.924050632911392,25.874125874125873,53.71477369769429,-5.872047384734254,-35.0319218453926,189.03681399082467,2.9624198799546706,3.719071077272369
ACIFORMULA,ACI Formulations PLC,123.1,2.4979184013322233,-4.647560030983734,-6.030534351145042,-20.580645161290324,-2.2239872915012002,3.4453781512604995,2.5833333333333286,21.938679550129706,-24.23505256557005,78.52900597118439,5.30057500482928,3.8922552385102467
ACMELAB,ACME Laboratories Ltd.,74.0,2.920723226703747,-1.3333333333333333,-1.464713715046597,-11.164465786314523,5.714285714285714,-2.116402116402109,-5.61224489795919,7.246376811594203,-45.18518518518518,-45.18518518518518,2.6825847433811916,1.8714921297683849
ACMEPL,ACME Pesticides Ltd,14.1,2.173913043478253,-4.081632653061222,-0.7042253521126736,-15.060240963855431,16.528925619834713,9.302325581395342,8.46153846153846,28.181818181818176,28.181818181818176,28.181818181818176,6.11000676381971,5.46100822777962
