Symbol,Name,Price,Change %,Perf % 1W,Perf % 1M,Perf % 3M,Perf % 6M,Perf % YTD,Perf % 1Y,Perf % 5Y,Perf % 10Y,Perf % All Time,Volatility 1W,Volatility 1M
1JANATAMF,First Janata Bank Mutual Fund Units,2.8,0.0,-3.448275862068969,21.73913043478261,3.7037037037036904,-15.151515151515152,7.692307692307681,-12.50000000000001,-50.87719298245615,-25.80000028196,-48.498929663371484,7.592592592592585,6.939276537744843
1STPRIMFMF,Prime Finance First Mutual Fund 2009 Units,18.9,-0.5263157894736916,-2.577319587628866,0.0,0.0,-18.88412017167383,-5.500000000000007,-8.252427184466033,15.950920245398759,98.94736842105262,-38.235294117647065,3.429856279360565,2.8410566197493337
AAMRANET,aamra networks ltd,16.4,-1.796407185628747,-2.958579881656805,1.863354037267063,-8.379888268156424,-25.114155251141554,-7.865168539325855,-31.66666666666667,-48.31922649214862,-72.77806073858615,-72.77806073858615,2.626425800092623,3.329937152056771
AAMRATECH,Aamra Technologies Limited,12.0,-2.439024390243908,-1.6393442622950762,4.3478260869565215,12.14953271028038,-18.918918918918923,-2.439024390243908,-24.528301886792455,-49.120000193344,-37.87906984270931,-59.19000008820742,4.009536326086674,4.129437093648898
ABB1STMF,AB Bank 1st Mutual Fund 2011 Units,3.0,0.0,3.448275862068969,20.0,7.1428571428571495,-9.090909090909086,11.111111111111104,-6.250000000000005,-49.15254237288136,-17.098261407950734,-55.249980010911905,7.259852216748776,6.785210101080239
ABBANK,AB Bank PLC,7.2,2.85714285714286,5.882352941176476,67.44186046511629,63.63636363636363,22.03389830508474,75.60975609756099,-3.999999999999998,-23.48690403284047,-55.275334516753375,-68.71423643436626,6.790377647714598,6.023541832483411
ACFL,Aman Cotton Fibrous PLC,17.5,-0.5681818181818262,-6.417112299465237,2.9411764705882355,-5.913978494623663,-9.793814432989684,-2.7777777777777777,-6.417112299465237,-42.05298013245033,-70.83333333333333,-70.83333333333333,1.8383861614720387,3.268260450993024
ACI,Advanced Chemical Industries PLC,218.0,-1.6245487364620912,-1.2681159420289907,3.8589804668889918,20.30905077262694,10.212335692618801,11.794871794871796,30.538922155688624,8.282599699313941,-26.78671436216418,250.0556969444432,2.1921850653780983,2.971077001607741
ACIFORMULA,ACI Formulations PLC,142.3,-2.064693737095664,-5.385638297872337,5.64216778025243,8.792048929663608,-8.72354073123797,10.310077519379854,10.73929961089495,25.55882384330884,-17.31322613768873,106.374309908201,2.3795591740472553,3.008587640191977
ACMELAB,ACME Laboratories Ltd.,78.9,-0.7547169811320683,-2.712700369913673,5.622489959839361,9.735744089012517,-4.363636363636357,10.65918653576439,5.0599201065246495,11.126760563380289,-41.55555555555555,-41.55555555555555,1.5661380565607892,2.0055349574799215
ACMEPL,ACME Pesticides Ltd,16.4,-0.6060606060606146,-3.5294117647058907,5.128205128205121,-7.344632768361586,-4.651162790697679,3.144654088050303,15.49295774647887,49.09090909090908,49.09090909090908,49.09090909090908,3.3297873335328467,3.5808278630478454
