Symbol,Name,Price,Change %,Perf % 1W,Perf % 1M,Perf % 3M,Perf % 6M,Perf % YTD,Perf % 1Y,Perf % 5Y,Perf % 10Y,Perf % All Time,Volatility 1W,Volatility 1M
1JANATAMF,First Janata Bank Mutual Fund Units,2.8,0.0,-3.448275862068969,-6.666666666666672,-20.000000000000004,-17.647058823529413,-15.151515151515152,-20.000000000000004,-55.55555555555556,-27.448889284211837,-48.498929663371484,4.33862433862434,4.873241844722272
1STPRIMFMF,Prime Finance First Mutual Fund 2009 Units,20.1,0.0,4.6875000000000115,-9.049773755656108,-11.842105263157892,4.145077720207257,-35.16129032258064,-44.93150684931506,21.08433734939759,109.37500000000003,-34.31372549019608,2.372490488732804,4.006035447072375
AAMRANET,aamra networks ltd,19.2,1.0526315789473648,-4.9504950495049505,-14.66666666666667,3.2258064516128915,12.28070175438595,-28.624535315985128,-34.470989761092156,-36.00199202332895,-68.1304125720033,-68.1304125720033,6.205847328061716,5.697685133485372
AAMRATECH,Aamra Technologies Limited,11.8,-1.6666666666666607,-0.8403361344537785,-16.312056737588644,-9.230769230769225,-4.0650406504065035,-30.99415204678363,-30.177514792899398,-53.50185891824922,-52.24218188368817,-59.87016675340395,5.566324835018752,5.6796437826653055
ABB1STMF,AB Bank 1st Mutual Fund 2011 Units,2.9,0.0,0.0,-9.375000000000009,-23.684210526315788,-34.0909090909091,-12.12121212121212,-19.444444444444446,-57.97101449275362,-19.861652694352376,-56.74164734388151,4.187192118226604,5.777164260491606
ABBANK,AB Bank PLC,5.1,1.9999999999999927,-1.9230769230769333,-10.526315789473694,-26.086956521739136,-22.72727272727273,-35.44303797468355,-32.89473684210527,-41.46748157765879,-68.9600280332577,-77.8392508076761,1.5843137254901987,4.7721638637281245
ACFL,Aman Cotton Fibrous PLC,18.6,-1.5873015873015723,0.5405405405405482,-2.6178010471204187,-4.615384615384608,23.17880794701988,3.333333333333341,10.714285714285717,-36.08247422680412,-69.0,-69.0,3.3696297249918032,3.5692344381622245
ACI,Advanced Chemical Industries PLC,179.3,-0.22259321090705467,3.0459770114942595,-2.5543478260869503,-10.349999999999996,7.365269461077851,25.38461538461539,57.521007928030585,-4.775999744930102,-36.47124468706619,187.91278193641594,4.83188529533251,3.7700845705452317
ACIFORMULA,ACI Formulations PLC,136.3,-2.5035765379113015,-1.9424460431654595,-3.8108680310515015,-2.989323843416362,4.0458015267175655,14.537815126050429,18.11091854419411,24.4478263980761,-13.941671465261907,97.6726524278833,3.111097809049937,3.64795731993965
ACMELAB,ACME Laboratories Ltd.,75.7,0.6648936170212766,0.6648936170212766,-3.8119440914866582,-7.68292682926829,5.285118219749648,0.13227513227514356,-2.3225806451612865,1.8842530282638033,-43.925925925925924,-43.925925925925924,1.567589243660859,1.4570391989970974
ACMEPL,ACME Pesticides Ltd,15.5,0.0,0.0,-5.487804878048772,4.02684563758389,30.25210084033613,20.15503875968992,22.047244094488196,40.90909090909091,40.90909090909091,40.90909090909091,4.324820210581458,6.161628622742423
ACTIVEFINE,Active Fine Chemicals Ltd.,6.9,-1.4285714285714235,-4.166666666666664,-17.857142857142858,-24.99999999999999,-13.749999999999996,-12.658227848101266,-18.823529411764703,-52.41379310344828,-75.62499992449048,-76.59999983558957,2.3064182194616905,3.3232119244108724
ADNTEL,ADN Telecom Ltd.,63.7,0.791139240506329,0.47318611987382375,-15.517241379310347,-19.05972045743329,-1.0869565217391348,-25.5841121495327,-26.102088167053363,41.55555555555556,57.28395061728396,57.28395061728396,2.586415264203058,4.27735101432873
ADVENT,Advent Pharma Ltd.,14.4,0.6993006993006968,-1.3698630136986254,-12.195121951219503,-7.692307692307688,9.0909090909091,-14.285714285714286,-15.789473684210531,-29.13684240176952,-60.90054424742668,-60.90054424742668,1.9601757072926724,3.5756507017844856
AFCAGRO,AFC Agro Biotech Ltd.,5.5,0.0,-8.333333333333334,-29.487179487179485,-32.92682926829268,-32.09876543209876,-40.86021505376345,-36.7816091954023,-68.20809248554913,-83.1333332649671,-75.99662497534133,5.838383838383839,5.380343980744605
AFTABAUTO,Aftab Automobiles Ltd.,35.0,0.5747126436781691,-5.405405405405405,-7.894736842105263,-2.234636871508372,40.0,-3.8461538461538423,1.1560693641618456,42.91666735743056,-28.409090544628093,-48.549999580733946,3.076070107499169,5.600524945216594
AGNISYSL,Agni Systems PLC,22.8,0.4405286343612398,-2.564102564102555,-13.962264150943394,-13.962264150943394,-2.1459227467811157,-4.999999999999997,-30.061349693251536,14.572864321608053,35.03830317937599,23.022183020112468,2.9991295265692295,3.5471171526500216
AGRANINS,Agrani Insuarnce Co. Ltd.,22.9,0.0,-15.185185185185189,-15.808823529411768,-11.923076923076927,0.509530475197146,2.104919853510058,11.871477388233114,-11.62365831934458,175.23546246581006,38.80154005606184,4.340624742314405,4.959685642594986
AIBL1STIMF,AIBL 1st ISLAMIC Mutual Fund 2010- Units,3.8,0.0,0.0,-9.523809523809533,-32.14285714285714,-42.42424242424243,-44.11764705882353,-47.945205479452056,-53.086419753086425,-48.64864864864865,-50.64935064935066,5.405405405405398,4.550860347763014
AIL,Alif Industries Ltd.,48.6,0.6211180124223692,0.0,-15.183246073298422,2.7484143763213624,6.813186813186816,-47.1164309031556,-37.909407726802556,102.49999983124998,-55.998307817326655,-55.998307817326655,3.5816115445277097,4.695198481404894
