Symbol,Name,Price,Change %,Perf % 1W,Perf % 1M,Perf % 3M,Perf % 6M,Perf % YTD,Perf % 1Y,Perf % 5Y,Perf % 10Y,Perf % All Time,Volatility 1W,Volatility 1M
1JANATAMF,First Janata Bank Mutual Fund Units,3.1,0.0,-6.060606060606053,6.896551724137938,29.166666666666675,3.333333333333336,19.23076923076923,-13.88888888888889,-43.63636363636363,-19.67555599323453,-42.98095784158985,5.258064516129036,7.599095910273977
1STPRIMFMF,Prime Finance First Mutual Fund 2009 Units,18.6,-1.5873015873015723,2.762430939226519,2.1978021978022095,-5.583756345177655,-10.576923076923073,-6.999999999999993,-4.615384615384608,5.681818181818182,121.42857142857143,-39.2156862745098,3.998009130987851,3.8647203462522692
AAMRANET,aamra networks ltd,16.6,2.469135802469149,0.0,-7.262569832402219,-1.7751479289940661,-13.989637305699478,-6.741573033707861,-24.54545454545454,-41.92467268721037,-72.4460858695445,-72.4460858695445,2.4505131409528147,2.8200656978791843
AAMRATECH,Aamra Technologies Limited,13.6,5.426356589147281,0.0,-11.68831168831169,20.353982300884944,5.426356589147281,10.569105691056901,-3.546099290780142,-39.68200860543478,-34.47272736386975,-53.748666766635075,4.382360614192004,5.188579762387882
ABB1STMF,AB Bank 1st Mutual Fund 2011 Units,3.4,0.0,-2.85714285714286,17.24137931034483,35.99999999999999,9.677419354838703,25.925925925925913,-35.84905660377358,-34.61538461538462,-8.043745191533057,-49.28331067903349,5.470142602495546,8.528181125391333
ABBANK,AB Bank PLC,6.0,1.6949152542372818,-9.090909090909086,-9.090909090909086,39.53488372093024,11.111111111111104,46.341463414634156,-14.285714285714286,-25.955068456951846,-59.83062451607242,-73.92853036197188,4.034454015004161,5.347268953870626
ACFL,Aman Cotton Fibrous PLC,18.0,-0.5524861878453117,-1.098901098901095,-2.173913043478253,3.448275862068974,-3.2258064516129106,0.0,3.448275862068974,-25.6198347107438,-70.0,-70.0,2.0916939342001206,3.3203248149322904
ACI,Advanced Chemical Industries PLC,210.0,-0.7561436672967837,1.3513513513513569,0.4784688995215311,-1.0367577756833124,25.59808612440192,7.6923076923076925,1.1560693641618525,8.365384562695425,-29.3990714847882,237.2096163226288,2.5043911741022673,2.569888067296069
ACIFORMULA,ACI Formulations PLC,140.3,-0.14234875444839049,0.2859185132237353,0.9352517985611593,3.542435424354252,7.099236641221383,8.759689922480629,3.1617647058823612,25.055178580889226,-20.798386898770158,103.47375741476176,2.098527678459787,2.417353741603084
ACMELAB,ACME Laboratories Ltd.,76.5,1.0568031704095073,-0.39062499999999634,-2.29885057471264,6.102635228848829,1.8641810918775044,7.293127629733524,2.9609690444145396,13.16568047337279,-43.333333333333336,-43.333333333333336,1.0098595343616312,1.384372521572658
ACMEPL,ACME Pesticides Ltd,26.7,-2.554744525547443,14.102564102564106,57.05882352941176,67.9245283018868,84.13793103448276,67.9245283018868,90.71428571428571,142.72727272727272,142.72727272727272,142.72727272727272,5.417425410877019,7.330569940681611
ACTIVEFINE,Active Fine Chemicals Ltd.,7.0,1.4492753623188355,-2.7777777777777803,-1.4084507042253471,25.000000000000007,-10.256410256410255,29.629629629629623,-20.45454545454546,-48.529411764705884,-73.99999991977143,-76.26086939842419,3.6551577152600156,5.246881818431987
ADNTEL,ADN Telecom Ltd.,62.7,0.15974440894568917,2.786885245901644,6.091370558375636,12.16457960644008,1.1290322580645207,8.290155440414516,-24.548736462093853,53.30073349633253,54.814814814814824,54.814814814814824,2.8463095518137007,3.197153429079169
ADVENT,Advent Pharma Ltd.,14.2,0.7092198581560258,-0.6993006993007091,5.18518518518518,10.077519379844952,-5.333333333333338,5.970149253731335,-8.387096774193552,-22.957447063406747,-61.443592243990196,-61.443592243990196,2.818766263584876,3.2849215357172454
AFCAGRO,AFC Agro Biotech Ltd.,7.0,0.0,-7.894736842105259,0.0,45.83333333333334,2.941176470588238,40.0,-23.913043478260864,-52.38095238095237,-80.3827691495696,-69.45024996861623,3.4320269442743436,5.374663619457352
AFTABAUTO,Aftab Automobiles Ltd.,28.3,1.433691756272409,-2.076124567474041,-4.713804713804709,-9.003215434083602,-18.443804034582136,-17.251461988304097,-10.443037974683545,32.20656848593298,-39.998557387223435,-58.398999660993454,1.786036434661639,2.6025975278848095
AGNISYSL,Agni Systems PLC,21.9,1.860465116279063,3.301886792452827,4.784688995215311,6.82926829268292,-8.750000000000005,5.288461538461528,-19.780219780219788,35.185185185185176,31.357449145055018,18.166044216686963,2.559422078439015,2.6630778464100926
AGRANINS,Agrani Insurance PLC,21.0,0.4784688995215379,-2.7777777777777843,0.4784688995215379,-7.8947368421052655,-23.07692307692308,-11.764705882352944,-4.082927554978419,-38.322826054524604,145.0834097269992,27.28525507324449,1.8715120993683272,3.3240361002657406
AIBL1STIMF,AIBL 1st ISLAMIC Mutual Fund 2010- Units,4.1,0.0,0.0,7.894736842105259,20.588235294117638,-2.3809523809523934,20.588235294117638,-41.42857142857144,-49.382716049382715,-41.42857142857144,-46.753246753246756,2.734756097560975,5.6309860367404925
AIL,Alif Industries Ltd.,28.9,0.0,-2.3648648648648742,-5.245901639344267,1.4035087719298196,-38.90063424947146,-28.992628992629,-39.79166666666667,40.66371664610971,-73.83438468972716,-73.83438468972716,2.479880074311785,3.5831164321131217
AL-HAJTEX,Alhaj Textile Mills Limited,114.0,-0.6968641114982554,-5.550952775476389,-8.8,63.08084803194558,21.66007917304347,12.172011771772123,24.11290334991935,383.9622646759969,118.14792287944616,564.6754847126439,2.931195541314918,4.370713732810877
